merchant_id,network_id,is_mule,mule_type
M0001,,0,
M0002,,0,
M0003,,0,
M0004,,0,
M0005,,0,
M0006,,0,
M0007,N001,1,SHARED_INFRASTRUCTURE
M0008,,0,
M0009,,0,
M0010,,0,
M0011,,0,
M0012,,0,
M0013,,0,
M0014,,0,
M0015,,0,
M0016,,0,
M0017,,0,
M0018,N010,1,SHARED_SETTLEMENT
M0019,,0,
M0020,N006,1,SHARED_SETTLEMENT
M0021,,0,
M0022,,0,
M0023,,0,
M0024,,0,
M0025,,0,
M0026,,0,
M0027,,0,
M0028,,0,
M0029,,0,
M0030,,0,
M0031,,0,
M0032,,0,
M0033,,0,
M0034,,0,
M0035,N009,1,SHARED_INFRASTRUCTURE
M0036,,0,
M0037,,0,
M0038,,0,
M0039,,0,
M0040,,0,
M0041,,0,
M0042,,0,
M0043,,0,
M0044,,0,
M0045,,0,
M0046,,0,
M0047,,0,
M0048,,0,
M0049,,0,
M0050,,0,
M0051,,0,
M0052,,0,
M0053,N003,1,CUSTOMER_OVERLAP
M0054,,0,
M0055,,0,
M0056,,0,
M0057,N008,1,TEMPORAL_COORDINATION
M0058,,0,
M0059,,0,
M0060,,0,
M0061,,0,
M0062,,0,
M0063,,0,
M0064,,0,
M0065,,0,
M0066,,0,
M0067,,0,
M0068,,0,
M0069,,0,
M0070,,0,
M0071,,0,
M0072,,0,
M0073,,0,
M0074,,0,
M0075,,0,
M0076,,0,
M0077,,0,
M0078,,0,
M0079,,0,
M0080,,0,
M0081,,0,
M0082,,0,
M0083,,0,
M0084,,0,
M0085,,0,
M0086,,0,
M0087,,0,
M0088,,0,
M0089,,0,
M0090,,0,
M0091,,0,
M0092,N010,1,SHARED_SETTLEMENT
M0093,N010,1,SHARED_SETTLEMENT
M0094,,0,
M0095,,0,
M0096,,0,
M0097,,0,
M0098,,0,
M0099,,0,
M0100,,0,
M0101,,0,
M0102,,0,
M0103,,0,
M0104,,0,
M0105,,0,
M0106,,0,
M0107,,0,
M0108,,0,
M0109,,0,
M0110,,0,
M0111,,0,
M0112,,0,
M0113,N006,1,SHARED_SETTLEMENT
M0114,,0,
M0115,,0,
M0116,,0,
M0117,,0,
M0118,,0,
M0119,,0,
M0120,,0,
M0121,,0,
M0122,,0,
