device_id,device_type,os,first_seen
D0001,mobile,Android,2025-10-13
D0002,pos,macOS,2025-12-30
D0003,mobile,Android,2026-01-08
D0004,pos,macOS,2026-01-16
D0005,desktop,Windows,2026-01-27
D0006,mobile,Android,2026-01-08
D0007,mobile,Android,2026-01-05
D0008,mobile,Android,2026-01-08
D0009,desktop,Android,2026-01-30
D0010,desktop,Android,2025-11-27
D0011,mobile,POS,2026-01-02
D0012,mobile,Android,2026-01-09
D0013,desktop,macOS,2025-10-16
D0014,mobile,Android,2025-12-24
D0015,desktop,POS,2025-11-12
D0016,mobile,Android,2025-10-18
D0017,desktop,iOS,2025-10-23
D0018,pos,iOS,2025-10-16
D0019,mobile,Android,2026-01-18
D0020,mobile,Windows,2026-01-03
D0021,mobile,Android,2025-10-15
D0022,mobile,iOS,2025-12-17
D0023,mobile,iOS,2025-12-21
D0024,pos,Windows,2025-12-04
D0025,desktop,Android,2025-12-14
D0026,mobile,Android,2026-01-19
D0027,desktop,Android,2025-12-04
D0028,mobile,Android,2025-12-21
D0029,desktop,Android,2025-12-10
D0030,mobile,Linux,2025-11-19
D0031,desktop,iOS,2026-01-17
D0032,pos,Windows,2025-11-21
D0033,desktop,Android,2026-01-06
D0034,tablet,Android,2025-12-14
D0035,mobile,iOS,2025-12-24
D0036,desktop,Android,2026-01-02
D0037,mobile,Android,2025-12-30
D0038,desktop,iOS,2025-12-09
D0039,mobile,iOS,2025-12-15
D0040,mobile,POS,2025-12-03
D0041,mobile,Android,2025-11-12
D0042,mobile,iOS,2025-12-29
D0043,desktop,Android,2026-01-16
D0044,desktop,Android,2025-12-26
D0045,pos,Windows,2026-01-03
D0046,mobile,Android,2026-01-10
D0047,pos,iOS,2025-11-16
D0048,mobile,Android,2025-10-10
D0049,mobile,Android,2025-11-12
D0050,desktop,Linux,2026-01-01
D0051,mobile,Android,2026-01-08
D0052,mobile,Windows,2025-12-03
D0053,mobile,Android,2026-01-04
D0054,mobile,Linux,2025-10-11
D0055,desktop,Android,2025-12-19
D0056,mobile,Android,2025-12-23
D0057,mobile,Windows,2025-12-02
D0058,mobile,Android,2025-12-27
D0059,mobile,Android,2025-11-30
D0060,desktop,POS,2025-12-04
D0061,pos,iOS,2025-12-14
D0062,desktop,Windows,2026-01-06
D0063,tablet,Windows,2025-11-01
D0064,mobile,macOS,2025-11-08
D0065,desktop,macOS,2025-11-22
D0066,mobile,iOS,2025-10-27
D0067,mobile,Android,2025-11-12
D0068,desktop,Android,2025-11-14
D0069,mobile,Windows,2025-11-09
D0070,tablet,macOS,2025-11-21
D0071,desktop,iOS,2025-12-02
D0072,pos,Android,2025-12-25
D0073,mobile,Android,2025-11-08
D0074,mobile,iOS,2026-01-12
D0075,desktop,macOS,2025-11-29
D0076,mobile,Android,2025-12-28
D0077,mobile,Windows,2025-10-16
D0078,desktop,Windows,2025-10-23
D0079,pos,Linux,2025-11-26
D0080,desktop,Android,2025-11-15
D0081,mobile,Linux,2025-12-01
D0082,mobile,Windows,2025-10-22
D0083,desktop,Windows,2025-11-28
D0084,mobile,Android,2025-12-24
D0085,mobile,iOS,2025-12-29
D0086,mobile,Windows,2025-11-01
D0087,mobile,Android,2025-11-13
D0088,mobile,iOS,2025-12-05
D0089,mobile,iOS,2025-12-04
D0090,desktop,iOS,2026-01-06
D0091,mobile,Android,2025-11-18
D0092,desktop,iOS,2025-12-22
D0093,mobile,Android,2026-01-17
D0094,tablet,Linux,2025-11-07
D0095,mobile,POS,2026-01-09
D0096,mobile,Android,2025-11-11
D0097,mobile,Android,2025-11-12
D0098,mobile,Android,2025-12-20
D0099,mobile,iOS,2025-12-16
D0100,desktop,macOS,2025-12-07
D0101,pos,iOS,2025-10-30
D0102,mobile,Android,2025-10-14
D0103,mobile,Android,2026-01-20
D0104,desktop,Android,2026-01-15
D0105,desktop,macOS,2026-01-17
D0106,mobile,Windows,2025-12-03
D0107,desktop,iOS,2026-01-17
D0108,mobile,Android,2025-11-28
D0109,desktop,Linux,2025-10-12
D0110,mobile,Android,2025-10-26
D0111,mobile,macOS,2025-11-04
D0112,mobile,macOS,2025-11-17
D0113,desktop,iOS,2026-01-23
D0114,mobile,macOS,2025-11-11
D0115,desktop,Android,2025-12-15
D0116,desktop,Windows,2025-11-04
D0117,desktop,Android,2025-12-19
D0118,mobile,iOS,2025-12-10
D0119,mobile,Android,2025-10-21
D0120,mobile,Android,2025-11-27
D0121,desktop,Android,2025-10-15
D0122,pos,Android,2026-01-17
D0123,mobile,iOS,2025-12-26
D0124,tablet,iOS,2026-01-23
D0125,mobile,Android,2026-01-16
D0126,mobile,POS,2025-10-29
D0127,mobile,Linux,2025-12-26
D0128,desktop,Android,2025-10-15
D0129,mobile,Android,2026-01-26
D0130,mobile,Windows,2026-01-05
D0131,desktop,Windows,2025-12-23
D0132,mobile,Android,2026-01-30
D0133,mobile,Windows,2026-01-12
D0134,mobile,Android,2026-01-14
D0135,mobile,Android,2025-10-15
