merchant_id,merchant_name,category,onboarding_date,kyc_status,merchant_age_days
M0001,"Choudhury, Bakshi and Maharaj",education,2024-05-21,VERIFIED,680
M0002,Kapoor and Sons,grocery,2025-02-08,VERIFIED,417
M0003,"Chaudry, Chahal and Sami",healthcare,2025-07-22,VERIFIED,253
M0004,Balan Inc,SaaS,2025-03-17,VERIFIED,380
M0005,Kaul PLC,ecommerce,2025-01-16,VERIFIED,440
M0006,"Bala, Issac and Saini",services,2025-04-02,VERIFIED,364
M0007,Sen PLC,education,2025-03-12,VERIFIED,385
M0008,Ahuja-Dutta,education,2024-11-01,VERIFIED,516
M0009,"Sami, Oak and Mall",ecommerce,2025-08-20,VERIFIED,224
M0010,Kale LLC,restaurant,2026-01-07,VERIFIED,84
M0011,Chanda Group,grocery,2024-11-13,VERIFIED,504
M0012,Parmer LLC,services,2026-01-08,VERIFIED,83
M0013,"Lalla, Bassi and Sharaf",SaaS,2025-09-22,VERIFIED,191
M0014,"Dash, Radhakrishnan and Brar",healthcare,2025-03-16,VERIFIED,381
M0015,"Memon, Pathak and Handa",restaurant,2025-03-09,VERIFIED,388
M0016,"Boase, Bath and Kari",electronics,2025-08-14,VERIFIED,230
M0017,Buch-Kaul,restaurant,2025-07-07,VERIFIED,268
M0018,Rai LLC,ecommerce,2025-04-07,VERIFIED,359
M0019,Patla-Gaba,healthcare,2025-10-13,VERIFIED,170
M0020,Pant-Kadakia,travel,2024-03-09,VERIFIED,753
M0021,"Loke, Bora and Garg",education,2025-11-07,VERIFIED,145
M0022,"Konda, Gade and Shere",grocery,2025-07-26,PENDING,249
M0023,Madan-Kanda,services,2025-09-06,VERIFIED,207
M0024,"Nair, Bhalla and Karnik",services,2025-05-24,VERIFIED,312
M0025,Mutti Group,education,2024-04-02,PENDING,729
M0026,Bhatti-Kakar,electronics,2025-11-14,LIMITED,138
M0027,"Murty, Kala and Tata",restaurant,2025-03-12,VERIFIED,385
M0028,Shanker-Dhar,ecommerce,2025-01-24,PENDING,432
M0029,Dewan-Koshy,ecommerce,2024-08-27,PENDING,582
M0030,"Yohannan, Lall and Sangha",SaaS,2025-10-26,VERIFIED,157
M0031,"Rastogi, Pathak and Kanda",education,2025-10-31,VERIFIED,152
M0032,Upadhyay Group,services,2025-07-24,VERIFIED,251
M0033,Batta Inc,fashion,2025-07-20,VERIFIED,255
M0034,Dutta Ltd,grocery,2025-11-22,VERIFIED,130
M0035,Bhatt-Rajan,restaurant,2025-01-17,VERIFIED,439
M0036,Sidhu-Wadhwa,electronics,2025-02-14,VERIFIED,411
M0037,Apte-Contractor,ecommerce,2023-09-22,VERIFIED,922
M0038,"Yadav, Loke and Oak",restaurant,2025-08-15,VERIFIED,229
M0039,Memon Group,electronics,2025-11-24,VERIFIED,128
M0040,Setty Inc,SaaS,2025-11-07,VERIFIED,145
M0041,"Lall, Tella and Gokhale",grocery,2025-04-09,VERIFIED,357
M0042,"Cherian, Misra and Tripathi",healthcare,2025-10-23,VERIFIED,160
M0043,"Issac, Dua and Prakash",SaaS,2024-12-27,VERIFIED,460
M0044,Zacharia PLC,fashion,2025-10-08,LIMITED,175
M0045,Naik Group,healthcare,2025-05-12,PENDING,324
M0046,Choudhury LLC,healthcare,2025-07-03,PENDING,272
M0047,Khatri-Bhardwaj,grocery,2025-11-09,VERIFIED,143
M0048,Brar Inc,fashion,2026-01-04,VERIFIED,87
M0049,"Sunder, Biswas and Walia",SaaS,2024-07-25,VERIFIED,615
M0050,Dave Ltd,ecommerce,2025-04-02,VERIFIED,364
M0051,Gandhi-Lanka,electronics,2025-12-07,PENDING,115
M0052,"Sampath, Kakar and Zacharia",ecommerce,2025-11-29,VERIFIED,123
M0053,"Iyer, Muni and Rastogi",education,2023-10-09,VERIFIED,905
M0054,"Prakash, Sarma and Varughese",SaaS,2025-11-01,VERIFIED,151
M0055,Dara-Kota,SaaS,2025-04-28,VERIFIED,338
M0056,Bhatt LLC,education,2026-01-19,VERIFIED,72
M0057,Karpe PLC,restaurant,2025-09-03,VERIFIED,210
M0058,Amble Inc,restaurant,2024-12-07,LIMITED,480
M0059,"Bhargava, Karnik and Bir",ecommerce,2026-01-27,VERIFIED,64
M0060,Narayanan Inc,ecommerce,2025-09-27,VERIFIED,186
M0061,"Khanna, Mallick and Sunder",SaaS,2025-10-04,VERIFIED,179
M0062,Zacharia and Sons,restaurant,2025-02-18,VERIFIED,407
M0063,"Solanki, Kibe and Solanki",restaurant,2025-03-13,VERIFIED,384
M0064,Gupta-Chandra,education,2025-02-19,VERIFIED,406
M0065,Sankar LLC,travel,2025-05-01,VERIFIED,335
M0066,Roy-Sibal,restaurant,2025-03-13,PENDING,384
M0067,"Bhagat, Chaudhari and Bhat",restaurant,2025-12-20,VERIFIED,102
M0068,Nori-Chopra,fashion,2025-04-30,VERIFIED,336
M0069,Handa and Sons,ecommerce,2024-05-15,VERIFIED,686
M0070,"Sen, Dey and Sami",grocery,2025-06-13,VERIFIED,292
M0071,Mallick Group,electronics,2025-10-03,VERIFIED,180
M0072,Borra Group,grocery,2025-09-20,LIMITED,193
M0073,"Chaudhari, Bedi and Zachariah",healthcare,2024-06-15,VERIFIED,655
M0074,Chander and Sons,electronics,2026-02-27,VERIFIED,33
M0075,Ray Group,ecommerce,2023-01-18,VERIFIED,1169
M0076,Kala-Rattan,fashion,2026-02-06,VERIFIED,54
M0077,Gala Group,fashion,2025-08-12,VERIFIED,232
M0078,Ramakrishnan LLC,SaaS,2025-12-03,VERIFIED,119
M0079,Mangal-Sampath,restaurant,2025-02-22,VERIFIED,403
M0080,"Sur, Dubey and Gupta",education,2025-01-07,VERIFIED,449
M0081,Kalla-Bhardwaj,SaaS,2025-05-15,VERIFIED,321
M0082,"Bhat, Murthy and Bhandari",grocery,2025-07-17,VERIFIED,258
M0083,Sood PLC,healthcare,2026-01-24,VERIFIED,67
M0084,"Dugar, Bhandari and Trivedi",electronics,2025-08-29,LIMITED,215
M0085,Grewal Inc,ecommerce,2025-07-23,VERIFIED,252
M0086,"Bir, Keer and Raval",ecommerce,2025-12-02,VERIFIED,120
M0087,Koshy PLC,education,2025-04-12,VERIFIED,354
M0088,"Baral, Bumb and Saini",restaurant,2025-05-14,VERIFIED,322
M0089,"Virk, Mutti and Lal",electronics,2025-08-18,VERIFIED,226
M0090,Murthy and Sons,restaurant,2025-06-23,VERIFIED,282
M0091,Randhawa-Deep,ecommerce,2025-08-21,VERIFIED,223
M0092,"Mital, Shankar and Mutti",SaaS,2026-01-23,VERIFIED,68
M0093,Andra Group,restaurant,2025-03-05,VERIFIED,392
M0094,"Chaudhry, Borah and Yogi",grocery,2026-03-03,VERIFIED,29
M0095,Toor LLC,fashion,2025-04-23,VERIFIED,343
M0096,Palla Inc,travel,2025-12-23,VERIFIED,99
M0097,Pingle LLC,grocery,2025-04-06,PENDING,360
M0098,Sarma PLC,ecommerce,2025-03-28,VERIFIED,369
M0099,"Mittal, Wadhwa and Anand",ecommerce,2025-03-28,VERIFIED,369
M0100,"Mistry, Chawla and Desai",services,2024-12-06,LIMITED,481
M0101,D’Alia-Chhabra,services,2024-07-23,VERIFIED,617
M0102,"Dugal, Magar and Manda",SaaS,2025-09-05,VERIFIED,208
M0103,"Kade, Oza and Jani",fashion,2024-12-13,PENDING,474
M0104,"Lalla, Tiwari and Suresh",services,2025-09-09,VERIFIED,204
M0105,Behl-Chanda,education,2025-04-14,VERIFIED,352
M0106,"Sampath, Malhotra and Basu",SaaS,2024-10-27,VERIFIED,521
