network_id,primary_mule_type,patterns,merchant_count
N001,SHARED_INFRASTRUCTURE,SHARED_INFRASTRUCTURE+TEMPORAL_COORDINATION,5
N002,SHARED_SETTLEMENT,SHARED_SETTLEMENT,3
N003,CUSTOMER_OVERLAP,CUSTOMER_OVERLAP,5
N004,TEMPORAL_COORDINATION,TEMPORAL_COORDINATION,6
N005,SHARED_INFRASTRUCTURE,SHARED_INFRASTRUCTURE+SHARED_SETTLEMENT,5
N006,SHARED_SETTLEMENT,SHARED_SETTLEMENT,8
N007,CUSTOMER_OVERLAP,CUSTOMER_OVERLAP,3
N008,TEMPORAL_COORDINATION,TEMPORAL_COORDINATION,4
N009,SHARED_INFRASTRUCTURE,SHARED_INFRASTRUCTURE+CUSTOMER_OVERLAP,5
N010,SHARED_SETTLEMENT,SHARED_SETTLEMENT,6
