merchant_id,volume_delta_t1_t2,refund_delta_t1_t2,network_growth_t1_t2,device_churn_t1_t2,ip_churn_t1_t2,volume_delta_t2_t3,refund_delta_t2_t3,network_growth_t2_t3,device_churn_t2_t3,ip_churn_t2_t3,volume_static_t3,refund_rate_static_t3,network_size_static_t3
M00001,-68.94999999999999,0.0,-1,0.5,0.0,146.92,0.0,0,0.0,0.0,146.92,0.0,2
M00002,-711.5699999999999,0.6666666666666666,0,0.0,0.0,-534.54,-0.6666666666666666,0,0.0,0.0,65.93,0.0,1
M00003,1564.93,0.0,1,0.0,0.0,-1099.8600000000001,0.0,-1,0.0,0.0,503.40999999999997,0.0,2
M00004,-603.98,0.15384615384615385,1,0.0,0.0,-641.5900000000001,-0.1083916083916084,0,0.0,0.0,1973.62,0.045454545454545456,1
M00005,-164.05999999999995,0.0,-1,0.5,0.0,758.47,0.0,0,0.0,0.0,1053.93,0.0,0
M00006,0.0,0.0,18,0.0,1.0,4519.860000000001,0.02631578947368421,1,1.0,0.0,4519.860000000001,0.02631578947368421,19
M00007,-134.42999999999995,0.028846153846153855,0,0.0,0.0,62.760000000000105,0.14615384615384613,-1,0.0,0.0,1047.3400000000001,0.3,1
M00008,-455.62,0.0,2,0.0,0.0,540.83,0.0,0,0.0,0.0,1450.0,0.0,2
M00009,-266.98,0.0,0,0.0,0.0,105.92,0.5,0,0.0,0.0,111.11,0.5,0
M00010,155.33999999999992,0.0,0,0.0,0.0,-334.80999999999995,0.0,0,0.0,0.0,520.96,0.0,1
M00011,-37.99000000000001,0.0,21,0.0,0.5,579.82,0.5,-2,0.0,0.5,928.46,0.5,19
M00012,1833.94,0.08333333333333333,2,1.0,1.0,705.3699999999999,-0.006410256410256401,1,0.0,0.0,2539.31,0.07692307692307693,3
M00013,635.75,0.0,0,0.0,0.0,-680.21,0.0,0,0.0,0.0,417.30999999999995,0.0,2
M00014,-158.39,0.0,0,0.0,0.0,-309.32000000000005,0.0,0,0.0,0.0,71.28,0.0,2
M00015,-216.79000000000002,-0.5,2,0.0,0.0,-8.429999999999993,0.0,0,0.0,0.0,66.28,0.0,3
M00016,-857.2600000000002,0.012383900928792574,0,0.0,0.0,800.5500000000002,-0.11764705882352941,0,0.5,0.0,3730.21,0.0,0
M00017,-813.6199999999999,0.0,0,0.0,0.0,-60.250000000000014,0.0,0,0.0,0.0,116.55,0.0,1
M00018,-213.73000000000002,0.09090909090909091,0,0.0,0.0,635.98,-0.09090909090909091,0,0.0,0.0,1432.77,0.0,1
M00019,2898.72,0.0,1,1.0,1.0,367.1300000000001,0.05555555555555555,0,0.0,0.0,3265.85,0.05555555555555555,1
M00020,-927.4599999999999,-0.05194805194805194,0,0.5,0.0,621.14,-0.09090909090909091,0,0.0,0.0,1388.28,0.0,1
M00021,-146.66000000000076,-0.05454545454545454,0,0.0,0.0,-100.3799999999992,0.0014260249554367208,0,0.0,0.0,5873.64,0.0196078431372549,2
M00022,886.6000000000001,0.07857142857142857,0,0.0,0.0,-385.0400000000002,-0.15,0,0.0,0.0,1670.28,0.0,0
M00023,231.16000000000003,0.1111111111111111,0,0.0,0.0,-128.04000000000008,-0.1111111111111111,0,0.0,0.0,571.55,0.0,0
M00024,362.22,0.3333333333333333,0,1.0,1.0,-25.54000000000002,-0.08333333333333331,0,0.0,0.0,336.68,0.25,0
M00025,0.0,0.0,0,1.0,1.0,2936.0,0.0,0,0.0,0.0,2936.0,0.0,0
M00026,2494.75,0.0,1,1.0,1.0,-121.61000000000013,0.05263157894736842,0,0.0,0.0,2373.14,0.05263157894736842,1
M00027,254.56,0.0,0,0.0,0.0,-411.04,0.0,0,0.0,0.0,98.50999999999999,0.0,0
M00028,251.87,0.0,0,0.5,0.0,-197.61,0.0,0,0.5,0.0,121.89,0.0,0
M00029,26.88,0.0,0,0.0,0.0,73.53,0.0,1,0.0,0.0,100.41,0.0,1
M00030,-509.86999999999995,-0.14285714285714285,0,0.0,0.0,106.19999999999999,0.0,0,0.0,0.0,337.13,0.0,1
M00031,167.22,0.0,0,0.0,0.0,-207.98000000000002,0.0,0,0.0,0.0,97.95,0.0,0
M00032,249.43999999999994,0.0,0,0.0,0.0,63.870000000000005,0.0,0,0.5,0.0,555.18,0.0,2
M00033,0.0,0.0,0,0.0,0.0,81.55,0.0,0,0.0,0.0,81.55,0.0,1
M00034,939.4900000000002,0.08097165991902833,-2,0.0,0.5,-104.00000000000023,-0.07456140350877193,-3,0.0,0.0,1960.76,0.08333333333333333,24
M00035,0.0,0.0,0,0.0,0.0,9198.83,0.0,2,1.0,1.0,9198.83,0.0,2
M00036,54.549999999999955,0.0,5,0.5,0.5,-361.22,0.0,-2,0.5,0.5,221.04,0.0,4
M00037,583.1100000000001,0.07894736842105263,0,0.0,0.0,1529.3400000000001,-0.039731682146542824,2,0.5,0.0,6070.77,0.0392156862745098,2
M00038,-356.1700000000001,0.0,-1,0.0,0.0,1014.9500000000003,0.037037037037037035,0,0.0,0.0,2613.11,0.037037037037037035,1
M00039,246.74,0.042857142857142844,0,0.0,0.0,-23.75,-0.05952380952380952,0,0.0,0.0,1075.73,0.08333333333333333,1
M00040,499.87999999999994,0.2,0,0.5,0.0,-34.879999999999995,-0.2,0,0.5,0.0,539.55,0.0,0
M00041,685.92,0.0,1,0.0,0.0,197.86,0.0,0,0.0,0.0,883.78,0.0,3
M00042,1490.27,0.0,0,0.0,0.0,-1354.1,0.0,0,0.0,0.0,487.43,0.0,0
M00043,-125.30000000000007,0.125,0,0.0,0.0,-469.19999999999993,-0.125,0,0.0,0.0,378.86,0.0,0
M00044,815.87,0.0,0,0.0,0.0,-701.79,0.0,0,0.0,0.0,923.97,0.0,1
M00045,-139.05999999999995,0.0,0,0.0,0.0,447.71000000000004,0.0,-1,0.0,0.0,1427.99,0.0,2
M00046,719.4000000000001,0.2,1,0.5,0.0,37.68999999999994,-0.0888888888888889,-1,0.5,0.0,757.09,0.1111111111111111,0
M00047,1065.77,0.04150197628458498,0,0.0,0.0,-602.6100000000001,0.03804347826086957,0,0.0,0.0,2382.16,0.125,1
M00048,67.49000000000001,0.0,0,0.0,0.0,141.64999999999998,0.0,0,0.0,0.0,235.41,0.0,0
