merchant_id,merchant_name,category,onboarding_date,kyc_status
M00001,"Rodriguez, Figueroa and Sanchez",ecommerce,2025-06-16,VERIFIED
M00002,Doyle Ltd,travel,2025-08-17,VERIFIED
M00003,"Mcclain, Miller and Henderson",travel,2025-10-25,VERIFIED
M00004,Davis and Sons,education,2025-11-25,VERIFIED
M00005,"Guzman, Hoffman and Baldwin",travel,2025-05-28,VERIFIED
M00006,"Gardner, Robinson and Lawrence",electronics,2026-03-08,VERIFIED
M00007,Blake and Sons,grocery,2025-07-30,VERIFIED
M00008,"Henderson, Ramirez and Lewis",restaurant,2025-09-06,LIMITED
M00009,Garcia-James,services,2025-08-28,VERIFIED
M00010,Abbott-Munoz,travel,2025-04-28,VERIFIED
M00011,Blair PLC,SaaS,2026-01-08,VERIFIED
M00012,Dudley Group,education,2026-02-17,VERIFIED
M00013,Arnold Ltd,grocery,2025-10-03,VERIFIED
M00014,"Mcclure, Ward and Lee",services,2025-06-22,VERIFIED
M00015,Williams and Sons,SaaS,2025-12-03,PENDING
M00016,Galloway-Wyatt,healthcare,2025-03-16,VERIFIED
M00017,James Group,education,2025-05-16,VERIFIED
M00018,"Flowers, Martin and Kelly",SaaS,2025-10-27,VERIFIED
M00019,"Adams, Zuniga and Wong",ecommerce,2026-02-16,VERIFIED
M00020,"Reid, Ferguson and Sanchez",travel,2025-11-08,VERIFIED
M00021,Gray-Mayo,electronics,2025-09-07,VERIFIED
M00022,"Watts, Robinson and Nguyen",SaaS,2025-03-17,VERIFIED
M00023,Perez Inc,education,2025-11-30,VERIFIED
M00024,Morales-Jones,travel,2026-02-09,LIMITED
M00025,"Walter, Edwards and Rios",grocery,2026-02-28,VERIFIED
M00026,Wilkerson-Day,ecommerce,2026-02-10,VERIFIED
M00027,Baker and Sons,SaaS,2025-03-25,PENDING
M00028,"Hoffman, Baker and Richards",SaaS,2025-08-18,VERIFIED
M00029,"Ross, Robinson and Bright",restaurant,2025-11-24,PENDING
M00030,"Snyder, Campos and Callahan",education,2025-09-23,VERIFIED
M00031,Burton Ltd,education,2025-04-22,VERIFIED
M00032,Carlson-Cruz,travel,2025-09-01,VERIFIED
M00033,"Ferrell, Rice and Maddox",ecommerce,2025-06-21,VERIFIED
M00034,Frazier Inc,healthcare,2026-01-12,VERIFIED
M00035,"Dyer, Potter and Mack",restaurant,2026-03-09,LIMITED
M00036,Rodriguez-Graham,SaaS,2025-05-08,LIMITED
M00037,Smith-Bowen,services,2025-10-03,PENDING
M00038,"Baker, Mason and White",grocery,2025-05-10,VERIFIED
M00039,Harrell LLC,SaaS,2025-12-12,VERIFIED
M00040,"Romero, Gonzalez and Brooks",ecommerce,2026-01-12,VERIFIED
M00041,Ryan PLC,healthcare,2025-06-16,VERIFIED
M00042,George Group,ecommerce,2025-08-08,VERIFIED
M00043,Rodriguez LLC,travel,2025-07-09,VERIFIED
M00044,Allen-Allen,grocery,2025-06-21,VERIFIED
M00045,"Arroyo, Miller and Tucker",ecommerce,2025-05-06,VERIFIED
M00046,Spence PLC,restaurant,2026-01-26,VERIFIED
M00047,Anderson Group,services,2025-03-13,VERIFIED
M00048,"Martin, Rose and Obrien",electronics,2025-10-21,VERIFIED
M00049,Hickman Ltd,fashion,2025-12-12,LIMITED
M00050,"Harris, Collins and Carney",electronics,2026-01-20,VERIFIED
M00051,"Brooks, Lam and Hayes",electronics,2025-03-31,VERIFIED
M00052,Walker LLC,fashion,2025-09-28,VERIFIED
M00053,Chapman and Sons,travel,2025-07-29,VERIFIED
M00054,"Robinson, Jones and Welch",education,2025-05-09,VERIFIED
M00055,Jones Inc,SaaS,2025-08-23,VERIFIED
M00056,Jones-Young,education,2026-03-11,VERIFIED
M00057,"Washington, Ryan and Cummings",education,2026-01-10,VERIFIED
