network_id,primary_mule_type,merchant_count
N001,TYPE_A_RAPID_FORMATION,6
N002,TYPE_B_GRADUAL_EXPANSION,5
N003,TYPE_C_INFRASTRUCTURE_CONVERGENCE,4
N004,TYPE_D_BEHAVIORAL_TRANSITION,3
N005,TYPE_A_RAPID_FORMATION,3
N006,TYPE_B_GRADUAL_EXPANSION,3
N007,TYPE_C_INFRASTRUCTURE_CONVERGENCE,7
N008,TYPE_D_BEHAVIORAL_TRANSITION,7
N009,TYPE_A_RAPID_FORMATION,6
N010,TYPE_B_GRADUAL_EXPANSION,3
N011,TYPE_C_INFRASTRUCTURE_CONVERGENCE,5
N012,TYPE_D_BEHAVIORAL_TRANSITION,7
N013,TYPE_A_RAPID_FORMATION,4
N014,TYPE_B_GRADUAL_EXPANSION,6
N015,TYPE_C_INFRASTRUCTURE_CONVERGENCE,6
N016,TYPE_D_BEHAVIORAL_TRANSITION,5
N017,TYPE_A_RAPID_FORMATION,5
N018,TYPE_B_GRADUAL_EXPANSION,3
N019,TYPE_C_INFRASTRUCTURE_CONVERGENCE,5
N020,TYPE_D_BEHAVIORAL_TRANSITION,3
N021,TYPE_A_RAPID_FORMATION,5
N022,TYPE_B_GRADUAL_EXPANSION,7
N023,TYPE_C_INFRASTRUCTURE_CONVERGENCE,7
N024,TYPE_D_BEHAVIORAL_TRANSITION,6
N025,TYPE_A_RAPID_FORMATION,7
N026,TYPE_B_GRADUAL_EXPANSION,7
N027,TYPE_C_INFRASTRUCTURE_CONVERGENCE,5
N028,TYPE_D_BEHAVIORAL_TRANSITION,5
N029,TYPE_A_RAPID_FORMATION,4
N030,TYPE_B_GRADUAL_EXPANSION,7
N031,TYPE_C_INFRASTRUCTURE_CONVERGENCE,3
N032,TYPE_D_BEHAVIORAL_TRANSITION,6
N033,TYPE_A_RAPID_FORMATION,7
N034,TYPE_B_GRADUAL_EXPANSION,3
N035,TYPE_C_INFRASTRUCTURE_CONVERGENCE,7
N036,TYPE_D_BEHAVIORAL_TRANSITION,4
N037,TYPE_A_RAPID_FORMATION,5
N038,TYPE_B_GRADUAL_EXPANSION,3
N039,TYPE_C_INFRASTRUCTURE_CONVERGENCE,5
N040,TYPE_D_BEHAVIORAL_TRANSITION,3
N041,TYPE_A_RAPID_FORMATION,4
N042,TYPE_B_GRADUAL_EXPANSION,4
N043,TYPE_C_INFRASTRUCTURE_CONVERGENCE,7
N044,TYPE_D_BEHAVIORAL_TRANSITION,6
N045,TYPE_A_RAPID_FORMATION,3
N046,TYPE_B_GRADUAL_EXPANSION,4
N047,TYPE_C_INFRASTRUCTURE_CONVERGENCE,6
N048,TYPE_D_BEHAVIORAL_TRANSITION,7
N049,TYPE_A_RAPID_FORMATION,7
N050,TYPE_B_GRADUAL_EXPANSION,7
N051,TYPE_C_INFRASTRUCTURE_CONVERGENCE,7
N052,TYPE_D_BEHAVIORAL_TRANSITION,6
N053,TYPE_A_RAPID_FORMATION,5
N054,TYPE_B_GRADUAL_EXPANSION,3
N055,TYPE_C_INFRASTRUCTURE_CONVERGENCE,5
N056,TYPE_D_BEHAVIORAL_TRANSITION,3
N057,TYPE_A_RAPID_FORMATION,4
N058,TYPE_B_GRADUAL_EXPANSION,5
N059,TYPE_C_INFRASTRUCTURE_CONVERGENCE,3
