feature,importance,importance_share
weighted_network_degree,0.2838019674598038,0.28380196745980385
unique_ip_count,0.14934935561946594,0.14934935561946597
active_days_ratio,0.07895350681512614,0.07895350681512615
pagerank_score,0.05475959769295956,0.054759597692959565
avg_tx_per_customer,0.04909995179025258,0.04909995179025259
avg_tx_per_ip,0.041181611911521615,0.04118161191152162
avg_tx_per_device,0.03240311910756103,0.03240311910756104
transaction_amount_std,0.024924281643421663,0.024924281643421666
active_days_count,0.02185927277257577,0.021859272772575773
volume_spike_score,0.019594271683053867,0.01959427168305387
unique_device_count,0.019116067953604977,0.01911606795360498
shared_device_volume_ratio,0.01737515934190868,0.017375159341908683
shared_customer_count,0.01569353353676948,0.015693533536769482
merchant_age_days,0.013574623152555568,0.01357462315255557
avg_ip_frequency,0.01212467838446298,0.012124678384462982
evening_tx_share,0.010704973784687453,0.010704973784687455
volume_burstiness,0.009181671816814813,0.009181671816814814
network_density,0.008889207545430816,0.008889207545430818
coordinated_activity_score,0.008096911184507794,0.008096911184507796
device_sharing_concentration,0.0076856083006237195,0.00768560830062372
avg_customer_rarity,0.0076839635051543015,0.007683963505154302
night_tx_share,0.007153158379306951,0.007153158379306952
weekend_tx_share,0.007127609128066045,0.007127609128066046
total_settlement_volume,0.006791171768350017,0.006791171768350018
daily_volume_cv,0.006712539588871129,0.00671253958887113
ip_sharing_concentration,0.006440083549409325,0.006440083549409326
settlement_count,0.006209247668470201,0.006209247668470202
pm_share_upi,0.00612637913292138,0.006126379132921381
shared_device_count,0.004913382626047634,0.004913382626047635
avg_ip_rarity,0.004858862597083698,0.004858862597083699
pm_share_netbanking,0.004851076360484088,0.004851076360484089
median_transaction_amount,0.004629292826305025,0.004629292826305026
volume_growth,0.004467053993772675,0.004467053993772676
transaction_time_concentration,0.004438982108295562,0.004438982108295563
shared_ip_count,0.003981486220038646,0.003981486220038647
transaction_burst_score,0.0032198204514215594,0.00321982045142156
average_daily_volume,0.0028454088404800183,0.0028454088404800187
unique_customer_count,0.0028364682147595825,0.002836468214759583
clustering_coefficient,0.0026990947366299476,0.002699094736629948
shared_customer_volume_ratio,0.002161014117354695,0.0021610141173546956
total_transaction_volume,0.0020613456903184786,0.002061345690318479
average_transaction_amount,0.00183631155174014,0.0018363115517401403
transaction_velocity,0.0016926459383518192,0.0016926459383518194
avg_device_frequency,0.0016191384834657013,0.0016191384834657015
connected_merchant_count,0.0014679103332904926,0.0014679103332904929
shared_ip_volume_ratio,0.0013891489565690427,0.001389148956569043
betweenness_centrality,0.001363566506658481,0.0013635665066584813
kyc_pending,0.0013402985878357692,0.0013402985878357694
business_hours_tx_share,0.0012572898567824139,0.001257289856782414
refund_amount_ratio,0.001172467224482957,0.0011724672244829571
customer_sharing_concentration,0.0011371559634282906,0.0011371559634282909
pm_share_card,0.0010114964877420884,0.0010114964877420887
avg_device_rarity,0.0009563327787955209,0.000956332778795521
merchant_degree,0.0009371108951617281,0.0009371108951617282
refund_rate,0.0009202742025978862,0.0009202742025978863
transaction_count,0.000668568689177391,0.0006685686891773911
refund_count,0.0003773941779513379,0.00037739417795133794
pm_share_wallet,0.00019146467699621307,0.0001914646769962131
success_rate,3.864620185410857e-05,3.864620185410858e-05
refund_volume,3.158944738305983e-05,3.158944738305984e-05
shared_settlement_count,9.21870954537273e-06,9.218709545372732e-06
failure_rate,5.157329540824607e-06,5.1573295408246075e-06
unique_settlement_account_count,0.0,0.0
network_size,0.0,0.0
kyc_verified,0.0,0.0
kyc_limited,0.0,0.0
