feature,importance,importance_share
weighted_network_degree,0.2933102335457068,0.2933102335457068
unique_ip_count,0.14927750339673176,0.14927750339673176
active_days_ratio,0.08112537361886671,0.08112537361886671
avg_tx_per_customer,0.052225203519368865,0.052225203519368865
pagerank_score,0.04630394091781115,0.04630394091781115
avg_tx_per_ip,0.03862066548229298,0.03862066548229298
avg_tx_per_device,0.026568845577828713,0.026568845577828713
active_days_count,0.020362053490118697,0.020362053490118697
unique_device_count,0.019364409832146566,0.019364409832146566
transaction_amount_std,0.01899093749535992,0.01899093749535992
avg_ip_frequency,0.014860112885605604,0.014860112885605604
volume_spike_score,0.013488364552077543,0.013488364552077543
shared_customer_count,0.013209958501244068,0.013209958501244068
weekend_tx_share,0.011715815950383091,0.011715815950383091
shared_device_volume_ratio,0.011267745334743333,0.011267745334743333
network_density,0.010012610085241269,0.010012610085241269
avg_customer_rarity,0.00994590578311015,0.00994590578311015
merchant_age_days,0.00963852812878556,0.00963852812878556
night_tx_share,0.009307744842316378,0.009307744842316378
device_sharing_concentration,0.008163982865970244,0.008163982865970244
shared_device_count,0.00800971653068087,0.00800971653068087
volume_growth,0.007990252211162894,0.007990252211162894
daily_volume_cv,0.007874078147693376,0.007874078147693376
ip_sharing_concentration,0.007628912106444412,0.007628912106444412
volume_burstiness,0.007416038144366913,0.007416038144366913
coordinated_activity_score,0.0066720915034455385,0.0066720915034455385
transaction_time_concentration,0.006529929891987949,0.006529929891987949
evening_tx_share,0.005832377669815,0.005832377669815
shared_customer_volume_ratio,0.005806833822349339,0.005806833822349339
settlement_count,0.005755157683544526,0.005755157683544526
total_settlement_volume,0.005614443156214959,0.005614443156214959
pm_share_netbanking,0.0053788035518669555,0.0053788035518669555
median_transaction_amount,0.005325277703864068,0.005325277703864068
avg_device_frequency,0.004964525590795872,0.004964525590795872
pm_share_card,0.00454912678398691,0.00454912678398691
clustering_coefficient,0.003942442116221592,0.003942442116221592
business_hours_tx_share,0.0034941811217502785,0.0034941811217502785
kyc_pending,0.0031466215911810417,0.0031466215911810417
average_daily_volume,0.0028171990473623977,0.0028171990473623977
average_transaction_amount,0.0027761748054376083,0.0027761748054376083
transaction_burst_score,0.002638405182442447,0.002638405182442447
pm_share_upi,0.0026237252050682817,0.0026237252050682817
shared_ip_volume_ratio,0.0024379070798991784,0.0024379070798991784
average_transaction_amount_zscore_vs_peers,0.0019588488848207197,0.0019588488848207197
total_transaction_volume,0.001957778034341037,0.001957778034341037
betweenness_centrality,0.0018016601194755417,0.0018016601194755417
customer_sharing_concentration,0.001749620693018867,0.001749620693018867
refund_amount_ratio,0.0017193731126151134,0.0017193731126151134
avg_ip_rarity,0.0016657931903839164,0.0016657931903839164
unique_customer_count,0.0014858257008941917,0.0014858257008941917
refund_volume,0.0014423843132812491,0.0014423843132812491
transaction_velocity,0.0012649305449722373,0.0012649305449722373
connected_merchant_count,0.001005489852516423,0.001005489852516423
refund_count,0.0008497617698734699,0.0008497617698734699
transaction_count_zscore_vs_peers,0.0008426644505066489,0.0008426644505066489
refund_rate_zscore_vs_peers,0.0007146384068707801,0.0007146384068707801
refund_rate,0.0006771665820055404,0.0006771665820055404
merchant_degree,0.0005695309125608766,0.0005695309125608766
unique_customer_count_zscore_vs_peers,0.000545906024921069,0.000545906024921069
avg_device_rarity,0.0004933507954980897,0.0004933507954980897
total_transaction_volume_zscore_vs_peers,0.00048692799198931443,0.00048692799198931443
shared_ip_count,0.0004851238948651387,0.0004851238948651387
success_rate,0.0003204630137294071,0.0003204630137294071
pm_share_wallet,0.0003184684965761349,0.0003184684965761349
transaction_count,0.0002915163377563518,0.0002915163377563518
failure_rate,0.000165777232707611,0.000165777232707611
failure_rate_zscore_vs_peers,0.00015644751470803383,0.00015644751470803383
shared_settlement_count,2.1960424492178092e-05,2.1960424492178092e-05
kyc_limited,2.047351058475268e-05,2.047351058475268e-05
kyc_verified,3.961740743442485e-06,3.961740743442485e-06
unique_settlement_account_count,0.0,0.0
network_size,0.0,0.0
