feature,legit_mean,mule_mean,legit_median,mule_median,legit_std,mule_std,legit_p05,legit_p95,mule_p05,mule_p95,cohen_d_mule_vs_legit,roc_auc_single_feature,status,note
weighted_network_degree,148.8467,252.9,103.0,176.5,142.4582,214.9818,16.0,427.55,92.9,689.7,0.5706,0.7238,PASS,
shared_ip_count,6.2222,9.56,5.0,8.0,4.9216,6.2263,1.0,15.0,3.9,27.65,0.5948,0.7162,PASS,
unique_ips,6.3178,9.64,5.0,8.0,4.9763,6.3992,1.0,15.0,4.45,28.2,0.5796,0.7127,PASS,
tx_count,18.4822,33.66,9.0,16.0,27.4382,47.019,1.0,71.55,8.0,113.75,0.3943,0.7028,PASS,
active_days,14.2067,22.44,8.0,15.0,15.2745,18.2123,1.0,48.55,8.0,64.2,0.4899,0.7028,PASS,
connected_merchants,103.8644,149.22,88.0,127.0,68.3067,69.9137,16.0,229.55,70.05,298.9,0.6562,0.6986,PASS,
network_degree,103.8644,149.22,88.0,127.0,68.3067,69.9137,16.0,229.55,70.05,298.9,0.6562,0.6986,PASS,
shared_customer_count,14.3022,24.2,8.0,15.0,16.5061,24.8363,1.0,46.55,7.45,72.8,0.4694,0.6978,PASS,
unique_customers,14.4711,24.42,8.0,15.0,16.7058,25.0225,1.0,46.55,7.45,72.8,0.4676,0.697,PASS,
unique_devices,6.9222,10.44,5.0,8.0,5.9528,8.9981,1.0,18.0,4.0,22.75,0.4611,0.6872,PASS,
shared_device_count,6.8578,10.3,5.0,8.0,5.8771,8.909,1.0,18.0,4.0,22.75,0.4561,0.6828,PASS,
total_amount,53337.2983,69826.6552,18968.49,35485.14,107786.6868,85287.5064,868.1525,222381.5035,7400.644,219606.599,0.1697,0.6524,PASS,
spike_ratio,1.4595,1.8046,1.0,1.7817,0.6026,0.7774,1.0,2.5888,1.0,2.8214,0.4962,0.6375,PASS,
max_daily_tx,1.7222,2.42,1.0,2.0,1.0179,2.0405,1.0,4.0,1.0,5.0,0.4328,0.6345,PASS,
ego_network_density,0.4879,0.451,0.48,0.4632,0.1001,0.0567,0.3683,0.6472,0.3422,0.5363,-0.4536,0.3677,PASS,
std_daily_tx,0.2256,0.3886,0.0,0.3374,0.2825,0.3886,0.0,0.7491,0.0,0.9792,0.48,0.6309,PASS,
mean_daily_tx,1.1108,1.2308,1.0,1.1225,0.2512,0.3697,1.0,1.5,1.0,1.7756,0.3798,0.6304,PASS,
refund_count,0.6356,1.12,0.0,0.5,1.6507,1.3511,0.0,3.0,0.0,3.0,0.3212,0.6206,PASS,
refund_amount,1060.8967,1677.1006,0.0,153.39,4061.7484,3290.8555,0.0,4862.8875,0.0,5962.2055,0.1667,0.6027,PASS,
refunded_rate,0.034,0.041,0.0,0.0057,0.0852,0.0572,0.0,0.1866,0.0,0.156,0.0959,0.5909,PASS,
failed_rate,0.0561,0.0611,0.0,0.0364,0.0985,0.0716,0.0,0.25,0.0,0.1997,0.0576,0.5786,PASS,
success_rate,0.8965,0.8979,0.95,0.9083,0.1633,0.0964,0.633,1.0,0.75,1.0,0.0105,0.43,PASS,
std_amount,2183.3128,2153.0409,1301.1643,1346.4644,2892.2985,2252.752,0.0,7650.0782,556.0164,6583.1734,-0.0117,0.5504,PASS,
shared_settlement_account_count,0.5511,0.64,1.0,1.0,0.4974,0.48,0.0,1.0,0.0,1.0,0.1819,0.5444,PASS,
weekend_share,0.2989,0.297,0.2817,0.317,0.2168,0.1184,0.0,0.6667,0.0375,0.435,-0.011,0.5424,PASS,
night_share,0.0267,0.0337,0.0,0.0,0.0908,0.0841,0.0,0.1609,0.0,0.2373,0.0804,0.5232,PASS,
merchant_age_days,325.0133,309.16,286.0,287.0,203.8036,179.3041,75.45,718.15,61.95,643.3,-0.0826,0.4895,PASS,
median_amount,2226.277,2036.2028,1395.3925,1375.015,2242.7703,1867.5922,406.981,6613.573,443.4835,6285.017,-0.0921,0.49,PASS,
unique_settlement_accounts,0.9867,1.0,1.0,1.0,0.1147,0.0,1.0,1.0,1.0,1.0,0.1644,0.5067,PASS,
mean_amount,2797.6326,2649.1515,1744.3226,1698.8173,2722.355,2563.9463,469.6485,8789.6409,633.0138,8123.2788,-0.0562,0.499,PASS,
