check,status,evidence,recommendation
merchants_forbidden_columns,PASS,No forbidden label columns found,
customers_forbidden_columns,PASS,No forbidden label columns found,
devices_forbidden_columns,PASS,No forbidden label columns found,
ips_forbidden_columns,PASS,No forbidden label columns found,
settlement_accounts_forbidden_columns,PASS,No forbidden label columns found,
transactions_forbidden_columns,PASS,No forbidden label columns found,
settlements_forbidden_columns,PASS,No forbidden label columns found,
refunds_forbidden_columns,PASS,No forbidden label columns found,
merchant_id_numeric_suffix,PASS,single-feature AUC=0.5201,
merchant_age_days,PASS,single-feature AUC=0.4895,
tx_count,PASS,single-feature AUC=0.7028,
mean_amount,PASS,single-feature AUC=0.4990,
failed_rate,PASS,single-feature AUC=0.5786,
refunded_rate,PASS,single-feature AUC=0.5909,
category=SaaS,PASS,legit_rate=0.0867; mule_rate=0.1000,
category=ecommerce,PASS,legit_rate=0.1867; mule_rate=0.1800,
category=education,PASS,legit_rate=0.0867; mule_rate=0.0800,
category=electronics,PASS,legit_rate=0.0756; mule_rate=0.0200,
category=fashion,PASS,legit_rate=0.0933; mule_rate=0.1000,
category=grocery,PASS,legit_rate=0.0844; mule_rate=0.1000,
category=healthcare,PASS,legit_rate=0.0778; mule_rate=0.1000,
category=restaurant,PASS,legit_rate=0.1200; mule_rate=0.1400,
category=services,PASS,legit_rate=0.1067; mule_rate=0.1000,
category=travel,PASS,legit_rate=0.0822; mule_rate=0.0800,
kyc_status=LIMITED,PASS,legit_rate=0.0600; mule_rate=0.0600,
kyc_status=PENDING,PASS,legit_rate=0.0844; mule_rate=0.0400,
kyc_status=VERIFIED,PASS,legit_rate=0.8556; mule_rate=0.9000,
payment_method=UPI,PASS,legit_rate=0.4173; mule_rate=0.4563,
payment_method=card,PASS,legit_rate=0.3331; mule_rate=0.3161,
payment_method=netbanking,PASS,legit_rate=0.1282; mule_rate=0.1004,
payment_method=wallet,PASS,legit_rate=0.1214; mule_rate=0.1272,
status=FAILED,PASS,legit_rate=0.0592; mule_rate=0.0648,
status=REFUNDED,PASS,legit_rate=0.0344; mule_rate=0.0333,
status=SUCCESS,PASS,legit_rate=0.9065; mule_rate=0.9020,
