network_id,is_mule,merchant_count,t1_nodes,t1_edges,t1_volume,t1_refund_rate,t2_nodes,t2_edges,t2_volume,t2_refund_rate,t3_nodes,t3_edges,t3_volume,t3_refund_rate,delta_nodes_t1_t2,delta_edges_t1_t2,delta_volume_t1_t2,delta_refund_t1_t2,delta_nodes_t2_t3,delta_edges_t2_t3,delta_volume_t2_t3,delta_refund_t2_t3
N001,True,5,5,7,124484.84,0.034482758620689655,5,3,96377.66,0.012195121951219513,5,10,114402.87000000001,0.03260869565217391,0,-4,-28107.179999999993,-0.022287636669470142,0,7,18025.210000000006,0.0204135737009544
N002,True,3,3,0,53173.09,0.0,3,0,62763.68,0.037037037037037035,3,0,37577.66,0.04,0,0,9590.590000000004,0.037037037037037035,0,0,-25186.019999999997,0.002962962962962966
N003,True,5,5,1,200294.01,0.09375,5,2,213756.65000000002,0.07936507936507936,5,2,149057.6,0.017241379310344827,0,1,13462.640000000014,-0.01438492063492064,0,0,-64699.05000000002,-0.06212370005473453
N004,True,6,6,0,115921.37000000001,0.058823529411764705,6,1,42220.29000000001,0.03333333333333333,6,0,118892.26999999999,0.08333333333333333,0,1,-73701.08,-0.025490196078431372,0,-1,76671.97999999998,0.049999999999999996
N005,True,5,5,10,46501.75000000001,0.058823529411764705,5,7,79661.26999999999,0.0,5,10,40854.729999999996,0.0,0,-3,33159.51999999998,-0.058823529411764705,0,3,-38806.53999999999,0.0
N006,True,8,8,6,392574.72,0.014563106796116505,8,9,480369.92000000004,0.009174311926605505,8,5,471053.42,0.03225806451612903,0,3,87795.20000000007,-0.005388794869511,0,-4,-9316.500000000058,0.023083752589523526
N007,True,3,3,0,29907.84,0.0,3,0,35694.61,0.058823529411764705,3,0,23142.18,0.125,0,0,5786.77,0.058823529411764705,0,0,-12552.43,0.0661764705882353
N008,True,4,3,0,30555.089999999997,0.0,4,0,29735.36,0.0,4,1,28973.019999999997,0.14285714285714285,1,0,-819.7299999999959,0.0,0,1,-762.3400000000038,0.14285714285714285
N009,True,5,5,9,48994.82,0.03125,5,10,57411.369999999995,0.04878048780487805,4,3,23176.280000000002,0.0,0,1,8416.549999999996,0.01753048780487805,-1,-7,-34235.09,-0.04878048780487805
N010,True,6,6,0,138085.82,0.046511627906976744,6,0,103429.03999999998,0.11764705882352941,6,0,102289.53,0.023809523809523808,0,0,-34656.78000000003,0.07113543091655267,0,0,-1139.5099999999802,-0.0938375350140056
B001,False,4,4,0,123790.66,0.078125,3,0,124730.15000000001,0.030303030303030304,4,3,212218.74000000002,0.04,-1,0,939.4900000000052,-0.047821969696969696,1,3,87488.59000000001,0.009696969696969697
B002,False,3,3,0,76119.24,0.0,3,1,171138.75999999998,0.04,3,2,199285.76999999996,0.0,0,1,95019.51999999997,0.04,0,1,28147.00999999998,-0.04
B003,False,4,4,3,143306.43999999997,0.0,4,2,113467.55000000002,0.0,4,0,123289.85,0.0,0,-1,-29838.889999999956,0.0,0,-2,9822.299999999988,0.0
B004,False,3,2,0,354352.33999999997,0.0,3,1,539617.57,0.0,2,0,390688.86,0.0,1,1,185265.22999999998,0.0,-1,-1,-148928.70999999996,0.0
B005,False,3,3,0,121064.39000000001,0.02564102564102564,3,0,134933.09000000003,0.025,3,1,132363.19999999998,0.0,0,0,13868.700000000012,-0.0006410256410256387,0,1,-2569.890000000043,-0.025
B006,False,3,2,0,88188.13,0.0,3,1,69319.54999999999,0.0,3,1,85030.41,0.0625,1,1,-18868.580000000016,0.0,0,0,15710.860000000015,0.0625
B007,False,7,6,5,194500.23,0.012048192771084338,7,5,166461.65000000002,0.05714285714285714,7,4,182317.41999999998,0.08823529411764706,1,0,-28038.579999999987,0.0450946643717728,0,-1,15855.76999999996,0.031092436974789923
B008,False,3,3,0,16460.760000000002,0.0,3,1,16188.01,0.05555555555555555,3,0,32018.12,0.05,0,1,-272.7500000000018,0.05555555555555555,0,-1,15830.109999999999,-0.00555555555555555
B009,False,4,4,1,445008.04000000004,0.029411764705882353,4,3,603209.2,0.0,4,0,436966.87,0.0,0,2,158201.15999999992,-0.029411764705882353,0,-3,-166242.32999999996,0.0
B010,False,7,6,6,254195.6,0.03636363636363636,7,4,339467.59,0.05,6,3,343306.5,0.07971014492753623,1,-2,85271.99000000002,0.013636363636363641,-1,-1,3838.9099999999744,0.029710144927536222
B011,False,10,10,24,396041.78,0.015789473684210527,10,11,443144.56,0.024390243902439025,9,17,527291.95,0.016042780748663103,0,-13,47102.77999999997,0.008600770218228498,-1,6,84147.38999999996,-0.008347463153775922
