network_id,mule_type,members,network_size,shared_devices,shared_ips,shared_customers,shared_settlement_accounts,internal_edges,network_density,connected_components,component_sizes,average_shortest_path,represented_in_graph,connected_in_projected_graph,status
N001,SHARED_INFRASTRUCTURE,"M0007,M0217,M0277,M0303,M0327",5,2,3,4,0,10,1.0,1,5,1.0,True,True,PASS
N002,SHARED_SETTLEMENT,"M0210,M0383,M0412",3,0,0,0,1,3,1.0,1,3,1.0,True,True,PASS
N003,CUSTOMER_OVERLAP,"M0053,M0234,M0365,M0402,M0430",5,5,2,21,0,10,1.0,1,5,1.0,True,True,PASS
N004,TEMPORAL_COORDINATION,"M0123,M0125,M0134,M0212,M0355,M0457",6,0,2,2,0,3,0.2,3,"1,2,3",,True,False,WARNING
N005,SHARED_INFRASTRUCTURE,"M0205,M0244,M0279,M0362,M0477",5,3,3,4,1,10,1.0,1,5,1.0,True,True,PASS
N006,SHARED_SETTLEMENT,"M0020,M0113,M0136,M0242,M0286,M0297,M0450,M0480",8,18,9,35,1,28,1.0,1,8,1.0,True,True,PASS
N007,CUSTOMER_OVERLAP,"M0150,M0428,M0441",3,0,0,7,0,3,1.0,1,3,1.0,True,True,PASS
N008,TEMPORAL_COORDINATION,"M0057,M0211,M0261,M0411",4,1,0,0,0,1,0.1667,3,"1,1,2",,True,False,WARNING
N009,SHARED_INFRASTRUCTURE,"M0035,M0162,M0373,M0386,M0398",5,3,3,15,0,10,1.0,1,5,1.0,True,True,PASS
N010,SHARED_SETTLEMENT,"M0018,M0092,M0093,M0196,M0319,M0330",6,0,1,3,1,15,1.0,1,6,1.0,True,True,PASS
