merchant_id,active_days,mean_daily_tx,max_daily_tx,std_daily_tx,spike_ratio,exact_timestamp_collisions,is_mule,network_id,mule_type
M0001,25,1.4,3,0.6454972243679028,2.142857142857143,0,0,,
M0002,5,1.0,1,0.0,1.0,0,0,,
M0003,16,1.0,1,0.0,1.0,0,0,,
M0004,19,1.1578947368421053,2,0.3746343246326776,1.7272727272727273,0,0,,
M0005,2,1.0,1,0.0,1.0,0,0,,
M0006,10,1.3,3,0.674948557710553,2.3076923076923075,0,0,,
M0007,12,1.0,1,0.0,1.0,0,1,N001,SHARED_INFRASTRUCTURE
M0008,22,1.1818181818181819,2,0.39477101697586137,1.6923076923076923,0,0,,
M0009,2,1.0,1,0.0,1.0,0,0,,
M0010,6,1.1666666666666667,2,0.408248290463863,1.7142857142857142,0,0,,
M0011,15,1.0666666666666667,2,0.2581988897471611,1.875,0,0,,
M0012,8,1.0,1,0.0,1.0,0,0,,
M0013,26,1.3461538461538463,3,0.6287961636211017,2.228571428571428,0,0,,
M0014,3,1.0,1,0.0,1.0,0,0,,
M0015,63,1.8888888888888888,4,0.9522657380386494,2.1176470588235294,0,0,,
M0016,2,1.0,1,0.0,1.0,0,0,,
M0017,1,1.0,1,,1.0,0,0,,
M0018,8,1.0,1,0.0,1.0,0,1,N010,SHARED_SETTLEMENT
M0019,1,1.0,1,,1.0,0,0,,
M0020,10,1.0,1,0.0,1.0,0,1,N006,SHARED_SETTLEMENT
M0021,8,1.125,2,0.3535533905932738,1.7777777777777777,0,0,,
M0022,8,1.25,2,0.4629100498862757,1.6,0,0,,
M0023,7,1.0,1,0.0,1.0,0,0,,
M0024,12,1.0833333333333333,2,0.2886751345948129,1.8461538461538463,0,0,,
M0025,9,1.0,1,0.0,1.0,0,0,,
M0026,36,1.3333333333333333,4,0.7559289460184544,3.0,0,0,,
M0027,7,1.0,1,0.0,1.0,0,0,,
M0028,4,1.0,1,0.0,1.0,0,0,,
M0029,1,1.0,1,,1.0,0,0,,
M0030,4,1.5,2,0.5773502691896257,1.3333333333333333,0,0,,
M0031,2,1.0,1,0.0,1.0,0,0,,
M0032,3,1.0,1,0.0,1.0,0,0,,
M0033,13,1.0769230769230769,2,0.2773500981126145,1.8571428571428572,0,0,,
M0034,3,1.0,1,0.0,1.0,0,0,,
M0035,30,1.2666666666666666,2,0.4497764451088035,1.5789473684210527,0,1,N009,SHARED_INFRASTRUCTURE
M0036,10,1.2,2,0.4216370213557839,1.6666666666666667,0,0,,
M0037,6,1.0,1,0.0,1.0,0,0,,
M0038,4,1.0,1,0.0,1.0,0,0,,
M0039,21,1.1904761904761905,3,0.511766315719159,2.52,0,0,,
M0040,12,1.0,1,0.0,1.0,0,0,,
M0041,4,1.0,1,0.0,1.0,0,0,,
M0042,13,1.0769230769230769,2,0.27735009811261463,1.8571428571428572,0,0,,
M0044,2,1.0,1,0.0,1.0,0,0,,
M0045,5,1.0,1,0.0,1.0,0,0,,
M0046,11,1.1818181818181819,2,0.4045199174779452,1.6923076923076923,0,0,,
M0047,10,1.1,2,0.31622776601683794,1.8181818181818181,0,0,,
