merchant_id,split
M0001,test
M0002,test
M0003,test
M0004,val
M0005,test
M0006,test
M0007,train
M0008,val
M0009,train
M0010,test
M0011,val
M0012,test
M0013,test
M0014,test
M0015,test
M0016,test
M0017,train
M0018,val
M0019,train
M0020,train
M0021,train
M0022,train
M0023,test
M0024,test
M0025,test
M0026,test
M0027,val
M0028,train
M0029,train
M0030,train
M0031,train
M0032,test
M0033,train
M0034,test
M0035,test
M0036,test
M0037,test
M0038,val
M0039,test
M0040,test
M0041,train
M0042,test
M0043,train
M0044,train
M0045,val
M0046,val
M0047,val
M0048,val
M0049,train
M0050,test
M0051,train
M0052,val
M0053,train
M0054,val
M0055,val
M0056,val
M0057,train
M0058,test
M0059,train
M0060,train
M0061,test
M0062,train
M0063,train
M0064,test
M0065,test
M0066,test
M0067,val
M0068,train
M0069,test
M0070,train
M0071,val
M0072,val
M0073,val
M0074,train
M0075,test
M0076,test
M0077,test
M0078,val
M0079,train
M0080,test
M0081,train
M0082,val
M0083,val
M0084,train
M0085,val
M0086,train
M0087,train
M0088,val
M0089,val
M0090,test
M0091,train
M0092,val
M0093,val
M0094,train
M0095,val
M0096,train
M0097,train
M0098,test
M0099,train
M0100,test
M0101,test
M0102,val
M0103,val
M0104,val
M0105,train
M0106,test
M0107,test
M0108,test
M0109,train
M0110,train
M0111,test
M0112,test
M0113,train
M0114,val
M0115,train
M0116,train
M0117,val
M0118,val
M0119,val
M0120,test
M0121,train
M0122,train
M0123,train
M0124,test
M0125,train
M0126,val
M0127,train
M0128,train
M0129,test
M0130,test
M0131,test
M0132,test
M0133,val
M0134,train
M0135,test
M0136,train
M0137,test
M0138,train
M0139,test
M0140,test
M0141,train
M0142,test
M0143,train
M0144,val
M0145,train
M0146,test
M0147,test
M0148,test
M0149,val
M0150,train
M0151,val
M0152,train
M0153,test
M0154,train
M0155,train
M0156,train
M0157,test
M0158,train
M0159,test
M0160,train
M0161,test
M0162,test
M0163,test
M0164,val
M0165,val
M0166,val
M0167,test
M0168,val
M0169,val
M0170,val
M0171,val
M0172,val
M0173,val
M0174,val
M0175,train
M0176,test
M0177,test
M0178,train
M0179,train
M0180,train
M0181,train
M0182,train
M0183,val
M0184,val
M0185,val
M0186,test
M0187,train
M0188,test
M0189,test
M0190,val
M0191,val
M0192,test
M0193,train
M0194,train
M0195,val
M0196,val
M0197,train
M0198,val
M0199,test
M0200,val
M0201,test
M0202,test
M0203,test
M0204,val
M0205,train
M0206,test
M0207,val
M0208,test
M0209,val
M0210,val
M0211,train
M0212,train
M0213,train
M0214,test
M0215,train
M0216,test
M0217,train
M0218,train
M0219,val
M0220,train
M0221,train
M0222,test
M0223,train
M0224,test
M0225,test
M0226,train
M0227,train
M0228,val
M0229,test
M0230,test
M0231,val
M0232,val
M0233,val
M0234,train
M0235,train
M0236,test
M0237,train
M0238,test
M0239,test
M0240,train
M0241,train
M0242,train
M0243,train
M0244,train
M0245,train
M0246,train
M0247,val
M0248,val
M0249,test
M0250,train
M0251,train
M0252,train
M0253,val
M0254,test
M0255,test
M0256,test
M0257,test
M0258,val
M0259,val
M0260,test
M0261,train
M0262,train
M0263,test
M0264,val
M0265,val
M0266,train
M0267,val
M0268,val
M0269,test
M0270,train
M0271,val
M0272,test
M0273,val
M0274,val
M0275,train
M0276,train
M0277,train
M0278,test
M0279,train
M0280,val
M0281,train
M0282,test
M0283,val
M0284,train
M0285,val
M0286,train
M0287,val
M0288,test
M0289,test
M0290,test
M0291,val
M0292,train
M0293,val
M0294,val
M0295,train
M0296,test
M0297,train
M0298,val
M0299,train
M0300,train
M0301,test
M0302,test
M0303,train
M0304,val
M0305,test
M0306,test
M0307,test
M0308,test
M0309,test
M0310,train
M0311,test
M0312,test
M0313,val
M0314,train
M0315,train
M0316,train
M0317,train
M0318,test
M0319,val
M0320,train
M0321,train
M0322,train
M0323,val
M0324,test
M0325,test
M0326,val
M0327,train
M0328,test
M0329,test
M0330,val
M0331,test
M0332,train
M0333,test
M0334,train
M0335,test
M0336,test
M0337,test
M0338,train
M0339,test
M0340,test
M0341,train
M0342,train
M0343,test
M0344,train
M0345,val
M0346,val
M0347,test
M0348,val
M0349,test
M0350,train
M0351,test
M0352,test
M0353,test
M0354,val
M0355,train
M0356,test
M0357,test
M0358,val
M0359,val
M0360,test
M0361,test
M0362,train
M0363,val
M0364,val
M0365,train
M0366,test
M0367,val
M0368,train
M0369,test
M0370,val
M0371,val
M0372,val
M0373,test
M0374,test
M0375,val
M0376,test
M0377,val
M0378,val
M0379,test
M0380,test
M0381,test
M0382,val
M0383,val
M0384,train
M0385,test
M0386,test
M0387,train
M0388,train
M0389,train
M0390,test
M0391,test
M0392,val
