customer_id,customer_since,region
C0001,2025-04-19,west
C0002,2025-10-18,central
C0003,2025-08-10,north
C0004,2025-03-25,east
C0005,2025-09-18,west
C0006,2025-08-05,south
C0007,2025-10-24,west
C0008,2025-02-26,east
C0009,2025-03-26,central
C0010,2025-04-21,central
C0011,2025-05-05,north
C0012,2025-11-21,south
C0013,2025-09-25,east
C0014,2025-07-18,north
C0015,2025-07-17,south
C0016,2025-11-20,central
C0017,2025-06-13,north
C0018,2025-03-24,south
C0019,2025-02-19,west
C0020,2025-05-01,south
C0021,2025-08-27,south
C0022,2025-06-21,central
C0023,2025-06-03,south
C0024,2025-06-25,north
C0025,2025-12-22,north
C0026,2025-12-31,central
C0027,2025-02-28,south
C0028,2025-02-11,east
C0029,2025-03-31,north
C0030,2025-11-07,south
C0031,2025-06-17,central
C0032,2025-11-12,east
C0033,2025-08-25,central
C0034,2025-07-21,south
C0035,2025-04-13,east
C0036,2025-05-06,west
C0037,2025-02-23,south
C0038,2025-07-09,south
C0039,2025-04-13,west
C0040,2025-04-17,south
C0041,2025-01-15,east
C0042,2025-10-19,central
C0043,2025-12-09,north
C0044,2025-07-01,south
C0045,2025-07-15,north
C0046,2025-12-04,south
C0047,2025-07-06,north
C0048,2025-08-16,west
C0049,2025-06-06,north
C0050,2025-07-07,west
C0051,2025-07-10,south
C0052,2025-09-17,south
C0053,2025-08-09,south
C0054,2025-07-03,west
C0055,2025-01-28,south
C0056,2025-11-27,south
C0057,2025-11-21,west
C0058,2025-03-09,east
C0059,2025-04-18,north
C0060,2025-12-22,central
C0061,2025-04-28,south
C0062,2025-10-24,north
C0063,2025-10-14,east
C0064,2025-11-11,north
C0065,2025-01-06,north
C0066,2025-06-26,west
C0067,2025-07-26,north
C0068,2025-11-02,west
C0069,2025-03-23,central
C0070,2025-04-22,east
C0071,2025-03-07,west
C0072,2025-10-06,west
C0073,2025-12-31,central
C0074,2025-02-21,south
C0075,2025-03-27,north
C0076,2025-04-23,east
C0077,2025-11-21,east
C0078,2025-06-12,north
C0079,2025-04-13,east
C0080,2025-04-28,north
C0081,2025-08-07,central
C0082,2025-05-22,south
C0083,2025-02-21,north
C0084,2025-10-27,north
C0085,2025-06-04,south
C0086,2025-04-04,south
C0087,2025-09-23,north
C0088,2025-09-30,south
C0089,2025-02-26,north
C0090,2025-01-27,south
C0091,2025-01-17,south
C0092,2025-10-07,south
C0093,2025-08-17,south
C0094,2025-10-17,north
C0095,2025-08-17,north
C0096,2025-05-27,north
C0097,2025-08-04,west
C0098,2025-09-21,central
C0099,2025-05-26,central
C0100,2025-12-01,east
C0101,2025-11-25,east
C0102,2025-10-20,south
C0103,2025-12-29,west
C0104,2025-05-23,west
C0105,2025-02-11,west
C0106,2025-06-26,central
C0107,2025-09-30,south
C0108,2025-10-12,west
C0109,2025-05-22,west
C0110,2025-04-17,south
C0111,2025-06-12,central
C0112,2025-10-21,north
C0113,2025-01-23,central
C0114,2025-04-30,west
C0115,2025-03-25,north
C0116,2025-10-22,east
C0117,2025-06-21,north
C0118,2025-02-01,west
C0119,2025-04-06,west
C0120,2025-01-17,east
C0121,2025-06-23,west
C0122,2025-12-31,north
C0123,2025-07-27,south
C0124,2025-11-14,south
C0125,2025-09-29,north
C0126,2025-11-19,south
C0127,2025-04-24,south
C0128,2025-12-14,south
C0129,2025-03-29,south
C0130,2025-06-09,west
C0131,2025-09-06,south
C0132,2025-04-15,central
C0133,2025-04-07,south
C0134,2025-02-17,south
C0135,2025-01-02,east
C0136,2025-07-02,south
C0137,2025-12-27,south
C0138,2025-03-22,east
C0139,2025-06-10,north
C0140,2025-12-08,south
C0141,2025-10-09,east
C0142,2025-01-02,south
C0143,2025-07-02,west
C0144,2025-02-22,south
C0145,2025-04-01,central
C0146,2025-03-31,west
C0147,2025-08-12,central
C0148,2025-03-14,west
C0149,2025-04-02,north
C0150,2025-03-24,east
C0151,2025-05-11,north
C0152,2025-08-28,west
C0153,2025-05-26,east
C0154,2025-04-30,south
C0155,2025-07-08,central
C0156,2025-08-13,north
C0157,2025-01-06,east
C0158,2025-11-21,west
C0159,2025-12-01,north
C0160,2025-08-08,east
C0161,2025-07-29,west
C0162,2025-09-11,north
C0163,2025-06-10,east
C0164,2025-05-14,south
C0165,2025-05-09,west
C0166,2025-02-28,north
C0167,2025-11-04,central
C0168,2025-04-28,central
C0169,2025-04-14,north
C0170,2025-12-18,south
C0171,2025-07-04,east
C0172,2025-08-15,west
C0173,2025-03-31,south
C0174,2025-04-12,north
C0175,2025-09-23,north
C0176,2025-06-14,central
C0177,2025-02-23,south
C0178,2025-11-01,west
C0179,2025-05-28,east
C0180,2025-09-01,central
C0181,2025-05-05,north
C0182,2025-07-24,north
C0183,2025-10-11,central
C0184,2025-11-20,central
C0185,2025-03-17,south
C0186,2025-09-03,south
C0187,2025-11-30,south
C0188,2025-08-23,south
C0189,2025-02-22,north
C0190,2025-03-11,central
C0191,2025-03-16,south
C0192,2025-02-08,west
C0193,2025-10-03,north
C0194,2025-12-19,north
C0195,2025-07-08,east
C0196,2025-08-07,south
C0197,2025-10-10,east
C0198,2025-06-01,north
C0199,2025-06-22,central
C0200,2025-08-03,west
C0201,2025-04-22,west
C0202,2025-01-23,north
C0203,2025-07-27,south
