refund_id,transaction_id,merchant_id,amount,timestamp,reason
R00000001,T00000076,M0077,441.82,2026-03-21 17:10:39,merchant_cancelled
R00000002,T00000077,M0490,1116.3,2026-01-17 23:34:42,customer_request
R00000003,T00000086,M0289,169.47,2026-03-29 20:12:31,customer_request
R00000004,T00000090,M0471,151.44,2026-01-21 09:34:42,duplicate_payment
R00000005,T00000174,M0214,2234.03,2026-02-02 03:21:13,customer_request
R00000006,T00000243,M0387,1427.14,2026-02-20 01:16:53,customer_request
R00000007,T00000265,M0466,2260.61,2026-01-31 05:31:39,merchant_cancelled
R00000008,T00000285,M0327,319.64,2026-01-17 09:46:00,merchant_cancelled
R00000009,T00000303,M0379,46.47,2026-03-21 20:09:36,customer_request
R00000010,T00000306,M0210,911.41,2026-03-10 20:07:43,customer_request
R00000011,T00000347,M0370,505.16,2026-01-11 09:29:03,customer_request
R00000012,T00000370,M0147,104.11,2026-02-09 20:58:56,duplicate_payment
R00000013,T00000396,M0362,522.29,2026-01-10 06:38:13,customer_request
R00000014,T00000440,M0129,1025.79,2026-02-24 09:17:19,merchant_cancelled
R00000015,T00000542,M0410,1947.41,2026-02-08 00:08:17,customer_request
R00000016,T00000543,M0083,1960.99,2026-03-07 12:46:03,customer_request
R00000017,T00000588,M0075,645.74,2026-02-27 11:46:47,merchant_cancelled
R00000018,T00000592,M0048,413.71,2026-02-07 17:47:45,merchant_cancelled
R00000019,T00000633,M0460,8935.08,2026-01-17 03:53:40,customer_request
R00000020,T00000666,M0410,1788.02,2026-01-10 03:05:31,pricing_error
R00000021,T00000713,M0205,515.31,2026-01-24 23:43:31,merchant_cancelled
R00000022,T00000716,M0430,1223.43,2026-02-11 22:44:15,duplicate_payment
R00000023,T00000816,M0021,1731.55,2026-02-20 10:12:32,quality_issue
R00000024,T00000827,M0126,960.66,2026-04-01 00:33:23,duplicate_payment
R00000025,T00000832,M0434,1085.38,2026-01-07 20:16:48,customer_request
R00000026,T00000840,M0401,935.65,2026-04-01 08:04:34,quality_issue
R00000027,T00000877,M0289,1154.63,2026-03-17 05:42:32,pricing_error
R00000028,T00000966,M0483,3253.02,2026-02-19 08:23:43,duplicate_payment
R00000029,T00000976,M0478,3667.28,2026-02-26 04:53:57,customer_request
R00000030,T00000989,M0423,634.6,2026-03-12 03:59:49,quality_issue
R00000031,T00001046,M0480,314.6,2026-03-30 08:14:17,quality_issue
R00000032,T00001122,M0224,4352.76,2026-03-29 04:33:25,pricing_error
R00000033,T00001127,M0430,859.02,2026-01-26 10:35:48,quality_issue
R00000034,T00001160,M0410,661.36,2026-02-23 04:06:20,duplicate_payment
R00000035,T00001167,M0306,1229.26,2026-01-08 11:22:57,merchant_cancelled
R00000036,T00001168,M0236,1155.76,2026-02-16 21:09:15,customer_request
R00000037,T00001215,M0444,4363.57,2026-03-07 00:14:27,customer_request
R00000038,T00001217,M0255,1271.46,2026-02-02 18:09:23,quality_issue
R00000039,T00001240,M0107,780.03,2026-02-06 15:30:43,pricing_error
R00000040,T00001245,M0419,2239.63,2026-01-10 11:22:38,customer_request
R00000041,T00001254,M0441,306.78,2026-03-28 01:06:40,quality_issue
R00000042,T00001266,M0214,732.35,2026-02-23 10:38:39,quality_issue
R00000043,T00001286,M0026,3214.72,2026-02-22 01:19:01,customer_request
R00000044,T00001300,M0142,346.97,2026-01-16 07:11:14,duplicate_payment
R00000045,T00001321,M0303,837.95,2026-03-16 03:26:00,customer_request
R00000046,T00001406,M0015,405.34,2026-02-19 07:14:34,quality_issue
R00000047,T00001431,M0097,222.38,2026-03-01 15:50:49,customer_request
R00000048,T00001470,M0401,1753.8,2026-01-31 01:32:17,customer_request
R00000049,T00001482,M0366,268.54,2026-01-15 20:23:52,customer_request
R00000050,T00001507,M0487,1184.11,2026-02-10 07:09:03,duplicate_payment
