settlement_account_id,bank_name,account_type,created_date
SA0001,Kotak,savings,2024-08-07
SA0002,SBI,current,2024-10-08
SA0003,ICICI,current,2024-10-10
SA0004,YES,current,2025-06-15
SA0005,YES,savings,2024-07-03
SA0006,Axis,current,2025-07-13
SA0007,Kotak,current,2025-02-11
SA0008,YES,savings,2024-12-10
SA0009,SBI,current,2025-11-22
SA0010,HDFC,savings,2025-10-25
SA0011,Axis,current,2025-10-14
SA0012,SBI,current,2025-12-07
SA0013,Kotak,nodal,2024-10-10
SA0014,Kotak,current,2025-11-17
SA0015,SBI,current,2024-09-02
SA0016,SBI,current,2024-12-12
SA0017,SBI,savings,2025-05-07
SA0018,Axis,savings,2025-09-06
SA0019,Axis,current,2025-05-21
SA0020,Axis,savings,2025-05-09
SA0021,Axis,current,2025-01-10
SA0022,YES,current,2025-05-31
SA0023,ICICI,current,2025-03-15
SA0024,ICICI,current,2025-03-17
SA0025,Kotak,savings,2025-05-26
SA0026,YES,current,2025-06-05
SA0027,Axis,current,2024-12-11
SA0028,SBI,current,2024-08-07
SA0029,SBI,savings,2024-11-21
SA0030,SBI,savings,2025-01-31
SA0031,HDFC,current,2024-08-23
SA0032,Axis,current,2024-09-03
SA0033,ICICI,current,2026-01-19
SA0034,ICICI,current,2024-11-09
SA0035,Axis,nodal,2025-09-03
SA0036,YES,current,2024-08-02
SA0037,ICICI,current,2026-02-01
SA0038,YES,current,2024-09-26
SA0039,Axis,current,2025-01-22
SA0040,YES,nodal,2025-10-01
SA0041,SBI,current,2024-09-18
SA0042,YES,current,2025-05-03
SA0043,Axis,current,2025-10-03
SA0044,Kotak,nodal,2024-05-26
SA0045,Axis,nodal,2024-05-27
SA0046,SBI,current,2025-10-05
SA0047,Axis,current,2024-10-28
SA0048,YES,current,2025-12-23
SA0049,Kotak,current,2026-01-03
SA0050,HDFC,current,2025-12-04
SA0051,Kotak,savings,2026-02-17
SA0052,YES,savings,2025-10-27
SA0053,Kotak,current,2025-01-15
SA0054,SBI,current,2026-02-14
SA0055,SBI,current,2024-12-21
SA0056,Kotak,current,2025-05-27
SA0057,Axis,current,2024-05-14
SA0058,SBI,current,2026-01-26
SA0059,SBI,nodal,2025-05-30
SA0060,SBI,current,2026-01-17
SA0061,HDFC,savings,2024-12-26
SA0062,HDFC,current,2024-11-30
SA0063,HDFC,current,2025-04-15
SA0064,SBI,current,2025-11-23
SA0065,Axis,savings,2025-05-02
SA0066,SBI,current,2025-10-08
SA0067,YES,current,2024-09-27
SA0068,ICICI,savings,2025-09-27
SA0069,SBI,savings,2025-08-30
