settlement_id,merchant_id,settlement_account_id,amount,timestamp
S00000001,M0001,SA0035,3613.84,2026-01-05 00:00:00
S00000002,M0001,SA0035,5122.35,2026-01-07 07:00:00
S00000003,M0001,SA0035,32665.69,2026-01-13 05:00:00
S00000004,M0001,SA0035,8360.74,2026-01-20 01:00:00
S00000005,M0001,SA0035,2646.18,2026-01-22 20:00:00
S00000006,M0001,SA0035,992.5,2026-01-25 16:00:00
S00000007,M0001,SA0035,4415.92,2026-02-03 14:00:00
S00000008,M0001,SA0035,2292.88,2026-02-06 20:00:00
S00000009,M0001,SA0035,5323.66,2026-02-18 19:00:00
S00000010,M0001,SA0035,9117.5,2026-02-22 03:00:00
S00000011,M0001,SA0035,2494.09,2026-02-28 00:00:00
S00000012,M0001,SA0035,4595.97,2026-03-05 17:00:00
S00000013,M0001,SA0035,2929.08,2026-03-08 15:00:00
S00000014,M0001,SA0035,5381.58,2026-03-17 09:00:00
S00000015,M0001,SA0035,25554.09,2026-03-20 14:00:00
S00000016,M0001,SA0035,6491.01,2026-03-23 06:00:00
S00000017,M0001,SA0035,23727.17,2026-03-30 03:00:00
S00000018,M0001,SA0035,2253.44,2026-04-01 08:00:00
S00000019,M0002,SA0245,538.75,2026-01-07 14:00:00
S00000020,M0002,SA0245,204.05,2026-01-25 19:00:00
S00000021,M0002,SA0245,1195.19,2026-01-31 17:00:00
S00000022,M0002,SA0245,193.51,2026-02-27 14:00:00
S00000023,M0003,SA0654,7804.81,2026-01-13 04:00:00
S00000024,M0003,SA0654,4444.56,2026-01-17 02:00:00
S00000025,M0003,SA0654,1678.02,2026-01-31 21:00:00
S00000026,M0003,SA0654,1855.76,2026-02-09 08:00:00
S00000027,M0003,SA0654,2671.19,2026-02-12 06:00:00
S00000028,M0003,SA0654,2529.68,2026-02-21 20:00:00
S00000029,M0003,SA0654,1331.04,2026-02-24 13:00:00
S00000030,M0003,SA0654,967.92,2026-03-05 13:00:00
S00000031,M0003,SA0654,4421.27,2026-03-11 14:00:00
S00000032,M0003,SA0654,735.82,2026-03-14 20:00:00
S00000033,M0003,SA0654,782.02,2026-03-18 03:00:00
S00000034,M0003,SA0654,2180.82,2026-03-29 13:00:00
S00000035,M0004,SA0650,4651.65,2026-01-04 14:00:00
S00000036,M0004,SA0650,6683.49,2026-01-11 01:00:00
S00000037,M0004,SA0650,2556.87,2026-01-19 13:00:00
S00000038,M0004,SA0650,800.2,2026-01-25 21:00:00
S00000039,M0004,SA0650,9935.68,2026-01-28 10:00:00
S00000040,M0004,SA0650,13687.96,2026-02-09 23:00:00
S00000041,M0004,SA0650,2469.05,2026-02-12 22:00:00
S00000042,M0004,SA0650,4946.89,2026-02-15 13:00:00
S00000043,M0004,SA0650,1119.43,2026-02-24 05:00:00
S00000044,M0004,SA0650,2644.25,2026-02-27 14:00:00
S00000045,M0004,SA0650,1382.61,2026-03-02 16:00:00
S00000046,M0004,SA0650,1805.13,2026-03-08 17:00:00
S00000047,M0004,SA0650,686.21,2026-03-23 15:00:00
S00000048,M0004,SA0650,1347.75,2026-03-29 19:00:00
S00000049,M0005,SA0007,3386.77,2026-02-24 19:00:00
S00000050,M0005,SA0007,550.7,2026-03-02 21:00:00
S00000051,M0006,SA0509,6725.44,2026-01-13 22:00:00
S00000052,M0006,SA0509,877.63,2026-02-04 02:00:00
S00000053,M0006,SA0509,13207.75,2026-02-06 14:00:00
S00000054,M0006,SA0509,772.87,2026-02-27 17:00:00
S00000055,M0006,SA0509,482.74,2026-03-08 20:00:00
S00000056,M0006,SA0509,2199.22,2026-03-11 16:00:00
S00000057,M0006,SA0509,2528.78,2026-03-20 08:00:00
S00000058,M0007,SA0744,11116.97,2026-01-04 21:00:00
S00000059,M0007,SA0744,2395.52,2026-01-14 00:00:00
S00000060,M0007,SA0744,21952.19,2026-01-19 06:00:00
S00000061,M0007,SA0744,4711.93,2026-01-25 10:00:00
S00000062,M0007,SA0744,3782.06,2026-02-01 01:00:00
S00000063,M0007,SA0744,2082.79,2026-02-21 14:00:00
S00000064,M0007,SA0744,4303.44,2026-03-11 07:00:00
S00000065,M0007,SA0744,6020.08,2026-03-17 19:00:00
S00000066,M0007,SA0744,1549.2,2026-03-20 20:00:00
S00000067,M0007,SA0744,3863.24,2026-03-29 17:00:00
S00000068,M0008,SA0434,4916.05,2026-01-04 16:00:00
