transaction_id,merchant_id,customer_id,timestamp,amount,payment_method,device_id,ip_id,status
T00000001,M0015,C0664,2026-01-17 16:07:25,335.17,wallet,D0156,IP0273,SUCCESS
T00000002,M0057,C0793,2026-02-09 22:24:03,153.89,wallet,D0345,IP0069,SUCCESS
T00000003,M0470,C0049,2026-03-24 21:34:30,1305.06,card,D0050,IP0726,SUCCESS
T00000004,M0058,C0067,2026-02-28 23:08:03,470.56,wallet,D0105,IP0644,SUCCESS
T00000005,M0418,C1254,2026-01-05 15:15:27,5494.64,UPI,D0649,IP0112,SUCCESS
T00000006,M0491,C1346,2026-02-03 19:11:56,2006.02,card,D0034,IP0119,SUCCESS
T00000007,M0430,C1191,2026-02-13 16:41:12,1609.34,card,D0732,IP0143,SUCCESS
T00000008,M0229,C1170,2026-02-22 16:00:10,4149.26,card,D0248,IP0493,SUCCESS
T00000009,M0142,C0993,2026-02-20 19:11:29,502.73,wallet,D0436,IP0672,SUCCESS
T00000010,M0113,C0002,2026-02-15 18:46:35,2543.57,UPI,D0403,IP0411,SUCCESS
T00000011,M0210,C0260,2026-02-25 19:15:32,217.86,wallet,D0643,IP0040,SUCCESS
T00000012,M0279,C0063,2026-03-26 12:37:41,3313.32,card,D0370,IP0147,SUCCESS
T00000013,M0268,C1116,2026-01-04 15:53:48,1158.88,UPI,D0059,IP0555,FAILED
T00000014,M0344,C1433,2026-03-03 21:14:31,3373.06,card,D0070,IP0732,SUCCESS
T00000015,M0416,C0411,2026-03-05 21:48:49,462.51,card,D0539,IP0527,SUCCESS
T00000016,M0113,C0259,2026-03-30 11:37:54,364.19,netbanking,D0296,IP0262,SUCCESS
T00000017,M0195,C1443,2026-01-06 14:14:32,867.26,card,D0200,IP0264,SUCCESS
T00000018,M0402,C0233,2026-01-04 16:32:47,4780.51,UPI,D0224,IP0022,SUCCESS
T00000019,M0454,C0974,2026-02-10 20:56:17,1868.25,UPI,D0168,IP0203,SUCCESS
T00000020,M0433,C0393,2026-03-20 13:37:16,1028.54,netbanking,D0388,IP0098,SUCCESS
T00000021,M0487,C0895,2026-02-12 14:52:34,560.16,UPI,D0523,IP0566,SUCCESS
T00000022,M0420,C1489,2026-01-04 14:33:09,514.93,UPI,D0498,IP0152,SUCCESS
T00000023,M0487,C0490,2026-01-23 18:06:38,447.84,card,D0570,IP0224,FAILED
T00000024,M0478,C1306,2026-01-24 23:47:15,5181.82,card,D0551,IP0692,SUCCESS
T00000025,M0362,C0394,2026-01-24 22:27:23,619.82,card,D0678,IP0147,SUCCESS
T00000026,M0381,C0004,2026-03-30 20:47:38,1292.84,wallet,D0247,IP0262,SUCCESS
T00000027,M0176,C0839,2026-03-09 19:49:32,426.34,wallet,D0152,IP0462,SUCCESS
T00000028,M0461,C1174,2026-01-26 23:43:40,10595.12,UPI,D0287,IP0619,SUCCESS
T00000029,M0380,C0675,2026-01-14 13:45:47,9450.84,card,D0472,IP0481,SUCCESS
T00000030,M0457,C0985,2026-01-13 14:00:54,496.39,UPI,D0542,IP0222,SUCCESS
T00000031,M0136,C0413,2026-03-27 12:17:03,1022.37,UPI,D0443,IP0045,FAILED
T00000032,M0210,C0474,2026-02-17 17:02:36,1088.99,UPI,D0118,IP0661,SUCCESS
T00000033,M0066,C0308,2026-02-26 23:16:17,270.68,UPI,D0075,IP0321,SUCCESS
T00000034,M0478,C0277,2026-03-19 13:31:36,11790.34,card,D0722,IP0514,SUCCESS
T00000035,M0424,C0594,2026-02-02 10:59:47,448.61,netbanking,D0442,IP0125,SUCCESS
T00000036,M0405,C0242,2026-02-23 15:30:22,580.0,UPI,D0015,IP0351,SUCCESS
T00000037,M0248,C1099,2026-03-13 13:29:05,615.17,wallet,D0623,IP0112,SUCCESS
T00000038,M0007,C1409,2026-02-19 20:06:58,2119.95,netbanking,D0522,IP0095,SUCCESS
T00000039,M0487,C0874,2026-02-03 18:27:58,622.22,UPI,D0405,IP0541,FAILED
T00000040,M0216,C1153,2026-01-15 21:01:19,849.8,card,D0352,IP0179,SUCCESS
T00000041,M0147,C0122,2026-02-06 06:43:24,2882.76,card,D0489,IP0245,SUCCESS
T00000042,M0442,C1173,2026-01-23 13:25:24,1699.37,wallet,D0645,IP0110,SUCCESS
T00000043,M0133,C1338,2026-01-03 23:22:44,8940.68,card,D0660,IP0399,SUCCESS
T00000044,M0117,C0143,2026-03-18 21:19:24,5827.81,netbanking,D0407,IP0514,SUCCESS
T00000045,M0264,C1286,2026-03-11 13:49:02,777.33,UPI,D0509,IP0585,SUCCESS
T00000046,M0258,C0670,2026-01-10 10:34:52,1063.27,card,D0631,IP0371,SUCCESS
T00000047,M0452,C0050,2026-02-22 12:39:26,1022.29,UPI,D0705,IP0364,SUCCESS
T00000048,M0496,C1099,2026-01-24 10:15:33,1858.17,card,D0645,IP0417,SUCCESS
T00000049,M0147,C0086,2026-03-27 23:21:48,1982.41,card,D0661,IP0082,SUCCESS
T00000050,M0130,C0163,2026-02-05 22:05:48,1082.8,card,D0728,IP0010,SUCCESS
T00000051,M0263,C1143,2026-01-15 20:08:59,2215.85,UPI,D0151,IP0629,FAILED
T00000052,M0249,C0232,2026-01-20 10:56:02,427.78,card,D0294,IP0739,SUCCESS
T00000053,M0424,C0292,2026-01-04 08:02:42,693.74,netbanking,D0189,IP0263,SUCCESS
T00000054,M0075,C0034,2026-03-23 15:23:38,1792.66,card,D0403,IP0200,FAILED
T00000055,M0113,C0904,2026-03-19 17:54:40,871.16,card,D0134,IP0262,SUCCESS
T00000056,M0132,C0548,2026-03-14 16:47:33,859.65,UPI,D0187,IP0251,SUCCESS
T00000057,M0065,C0315,2026-01-17 18:34:56,21186.54,card,D0335,IP0659,SUCCESS
T00000058,M0047,C0324,2026-02-05 15:27:19,339.18,wallet,D0431,IP0506,SUCCESS
T00000059,M0290,C0076,2026-02-06 17:24:00,212.14,card,D0718,IP0561,SUCCESS
T00000060,M0453,C0476,2026-02-17 15:55:11,4285.54,card,D0550,IP0087,SUCCESS
T00000061,M0424,C0265,2026-03-26 10:37:24,2112.11,wallet,D0189,IP0263,SUCCESS
T00000062,M0129,C0694,2026-01-29 14:45:43,3242.5,card,D0432,IP0372,SUCCESS
T00000063,M0111,C1155,2026-02-15 13:54:59,1895.98,card,D0258,IP0275,SUCCESS
T00000064,M0338,C0678,2026-01-21 12:12:10,3164.47,wallet,D0242,IP0286,FAILED
T00000065,M0191,C0013,2026-01-29 10:58:55,1080.41,card,D0372,IP0602,SUCCESS
T00000066,M0289,C1201,2026-02-19 23:35:04,393.09,card,D0289,IP0579,SUCCESS
T00000067,M0385,C1378,2026-01-31 12:49:02,461.38,UPI,D0250,IP0719,FAILED
T00000068,M0461,C0166,2026-03-01 22:58:59,5162.69,UPI,D0110,IP0148,SUCCESS
T00000069,M0125,C1166,2026-01-27 14:05:29,1662.54,netbanking,D0185,IP0339,SUCCESS
T00000070,M0050,C0217,2026-03-28 10:05:13,572.32,card,D0387,IP0311,SUCCESS
T00000071,M0142,C0693,2026-03-30 20:22:57,1390.99,UPI,D0247,IP0469,SUCCESS
T00000072,M0303,C0411,2026-02-02 19:28:25,1212.2,UPI,D0181,IP0092,SUCCESS
T00000073,M0071,C0308,2026-01-21 13:12:58,6613.59,netbanking,D0457,IP0348,SUCCESS
T00000074,M0190,C0941,2026-03-15 03:43:44,249.36,wallet,D0105,IP0057,SUCCESS
T00000075,M0174,C0804,2026-01-18 11:56:28,3252.14,UPI,D0533,IP0454,SUCCESS
T00000076,M0077,C1080,2026-03-17 14:51:39,942.33,card,D0280,IP0510,REFUNDED
T00000077,M0490,C0588,2026-01-12 23:58:42,1430.43,UPI,D0707,IP0570,REFUNDED
T00000078,M0442,C0021,2026-03-25 06:26:24,521.23,card,D0486,IP0294,SUCCESS
T00000079,M0328,C0913,2026-03-27 13:01:22,1138.58,UPI,D0262,IP0166,SUCCESS
T00000080,M0452,C0035,2026-01-26 12:28:48,4856.59,UPI,D0349,IP0142,SUCCESS
T00000081,M0165,C0991,2026-02-19 23:45:29,486.03,card,D0587,IP0165,SUCCESS
T00000082,M0437,C0664,2026-03-16 15:47:23,2295.11,card,D0545,IP0234,SUCCESS
T00000083,M0369,C0792,2026-03-08 05:45:27,2138.29,UPI,D0289,IP0149,SUCCESS
T00000084,M0142,C0957,2026-02-25 13:30:36,1300.84,wallet,D0247,IP0672,SUCCESS
T00000085,M0366,C0711,2026-02-11 11:10:40,393.33,wallet,D0748,IP0410,SUCCESS
T00000086,M0289,C0910,2026-03-21 20:37:31,198.36,wallet,D0286,IP0703,REFUNDED
T00000087,M0286,C0867,2026-02-25 09:47:57,201.72,UPI,D0379,IP0228,SUCCESS
T00000088,M0478,C1075,2026-03-12 23:09:05,18273.29,card,D0722,IP0182,FAILED
T00000089,M0217,C0494,2026-01-13 09:30:55,594.33,UPI,D0164,IP0456,SUCCESS
