merchant_id,entity_type,entity_id,start_time,end_time
M00001,ip,I02318,2026-01-01 00:00:00,2026-04-01
M00001,device,D03476,2026-01-01 00:00:00,2026-01-14
M00001,device,D03021,2026-01-14 00:00:00,2026-04-01
M00002,ip,I06032,2026-01-01 00:00:00,2026-04-01
M00002,device,D08068,2026-01-01 00:00:00,2026-04-01
M00003,ip,I08710,2026-01-01 00:00:00,2026-04-01
M00003,device,D01716,2026-01-01 00:00:00,2026-04-01
M00004,ip,I02760,2026-01-01 00:00:00,2026-04-01
M00004,device,D09536,2026-01-01 00:00:00,2026-04-01
M00005,ip,I03302,2026-01-01 00:00:00,2026-04-01
M00005,device,D04416,2026-01-01 00:00:00,2026-01-19
M00005,device,D03046,2026-01-19 00:00:00,2026-04-01
M00006,ip,I04823,2026-03-08 00:00:00,2026-02-15
M00006,device,D08147,2026-03-08 00:00:00,2026-04-01
M00007,ip,I09077,2026-01-01 00:00:00,2026-04-01
M00007,device,D04355,2026-01-01 00:00:00,2026-04-01
M00008,ip,I07972,2026-01-01 00:00:00,2026-04-01
M00008,device,D03803,2026-01-01 00:00:00,2026-04-01
M00009,ip,I04416,2026-01-01 00:00:00,2026-04-01
M00009,device,D00316,2026-01-01 00:00:00,2026-04-01
M00010,ip,I09357,2026-01-01 00:00:00,2026-04-01
M00010,device,D08551,2026-01-01 00:00:00,2026-04-01
M00011,ip,I09497,2026-01-08 00:00:00,2026-02-03
M00011,device,D07565,2026-01-08 00:00:00,2026-04-01
M00012,ip,I08681,2026-02-17 00:00:00,2026-04-01
M00012,device,D08156,2026-02-17 00:00:00,2026-04-01
M00013,ip,I03859,2026-01-01 00:00:00,2026-04-01
M00013,device,D02543,2026-01-01 00:00:00,2026-04-01
M00014,ip,I02249,2026-01-01 00:00:00,2026-04-01
M00014,device,D06608,2026-01-01 00:00:00,2026-04-01
M00015,ip,I03615,2026-01-01 00:00:00,2026-04-01
M00015,device,D08851,2026-01-01 00:00:00,2026-04-01
M00016,ip,I07105,2026-01-01 00:00:00,2026-04-01
M00016,device,D01780,2026-01-01 00:00:00,2026-03-16
M00016,device,D08461,2026-03-16 00:00:00,2026-04-01
M00017,ip,I01782,2026-01-01 00:00:00,2026-04-01
M00017,device,D00088,2026-01-01 00:00:00,2026-04-01
M00018,ip,I07164,2026-01-01 00:00:00,2026-04-01
M00018,device,D00556,2026-01-01 00:00:00,2026-04-01
M00019,ip,I09157,2026-02-16 00:00:00,2026-04-01
M00019,device,D08002,2026-02-16 00:00:00,2026-04-01
M00020,ip,I03221,2026-01-01 00:00:00,2026-04-01
M00020,device,D08224,2026-01-01 00:00:00,2026-01-10
M00020,device,D05116,2026-01-10 00:00:00,2026-04-01
M00021,ip,I00755,2026-01-01 00:00:00,2026-04-01
M00021,device,D05825,2026-01-01 00:00:00,2026-04-01
M00022,ip,I04324,2026-01-01 00:00:00,2026-04-01
