transaction_id,merchant_id,customer_id,timestamp,amount,payment_method,device_id,ip_id,status
T00025490,M00753,C05137,2026-01-01 00:01:02,51.43,UPI,D07602,I08463,SUCCESS
T00130682,M04320,C00657,2026-01-01 00:01:17,81.85,UPI,D06098,I02738,SUCCESS
T00125918,M04158,C04155,2026-01-01 00:02:24,40.87,card,D06368,I07622,SUCCESS
T00129193,M04266,C05553,2026-01-01 00:02:32,69.82,UPI,D01296,I03647,SUCCESS
T00030695,M00911,C02415,2026-01-01 00:02:34,58.09,UPI,D04588,I04373,SUCCESS
T00006282,M00199,C02690,2026-01-01 00:02:56,69.9,UPI,D07773,I06926,SUCCESS
T00000773,M00022,C03665,2026-01-01 00:03:33,47.51,card,D00937,I04324,SUCCESS
T00030506,M00908,C07791,2026-01-01 00:05:31,25.63,card,D00336,I06506,SUCCESS
T00075474,M02450,C09878,2026-01-01 00:08:02,114.32,netbanking,D02815,I05337,SUCCESS
T00140010,M04628,C04063,2026-01-01 00:08:12,77.11,card,D00830,I00569,SUCCESS
T00139947,M04624,C04972,2026-01-01 00:09:37,241.0,UPI,D02916,I09903,SUCCESS
T00064120,M02047,C09810,2026-01-01 00:12:57,199.52,netbanking,D02373,I04165,SUCCESS
T00027542,M00785,C07845,2026-01-01 00:13:16,18.69,UPI,D00606,I03616,SUCCESS
T00045690,M01406,C03857,2026-01-01 00:13:21,138.81,card,D04641,I08155,SUCCESS
T00034842,M01054,C09477,2026-01-01 00:15:40,38.29,UPI,D08789,I06215,REFUNDED
T00002004,M00068,C07322,2026-01-01 00:16:26,331.29,netbanking,D09615,I03956,FAILED
T00050099,M01537,C08808,2026-01-01 00:18:30,67.2,card,D09802,I07079,SUCCESS
T00035065,M01064,C03836,2026-01-01 00:18:42,59.96,UPI,D09001,I02314,REFUNDED
T00023908,M00702,C08169,2026-01-01 00:20:31,58.65,card,D00451,I06226,SUCCESS
T00049059,M01509,C09852,2026-01-01 00:22:14,95.93,UPI,D03690,I02895,SUCCESS
T00102973,M03415,C06841,2026-01-01 00:25:15,111.73,wallet,D05787,I08343,SUCCESS
T00064649,M02051,C09328,2026-01-01 00:28:26,126.18,card,D09572,I04705,SUCCESS
T00119320,M03966,C08632,2026-01-01 00:29:35,104.16,card,D09322,I09662,SUCCESS
T00004993,M00169,C07819,2026-01-01 00:29:44,22.75,wallet,D02234,I00038,SUCCESS
T00085006,M02809,C06613,2026-01-01 00:31:24,271.97,UPI,D03820,I03608,SUCCESS
T00146984,M04914,C06480,2026-01-01 00:33:01,33.37,card,D03387,I09838,FAILED
T00031993,M00964,C02719,2026-01-01 00:33:21,254.87,netbanking,D02564,I08831,SUCCESS
T00007120,M00215,C07116,2026-01-01 00:34:15,125.87,card,D04139,I08829,SUCCESS
